,UNIQUE-ID,COMMON-NAME,ENZYME,REACTION,ALTERNATIVE-SUBSTRATES
1744,ENZRXN-25063,teichoic acid ribitol-phosphate primase,MONOMER-19964,['RXN-18015'],N/A
1745,ENZRXN0-7686,phosphoethanolamine transferase,EG11914-MONOMER,['RXN-14363'],N/A
1746,ENZRXN-20204,neamine phosphoribosyltransferase,MONOMER-17281,['RXN-13203'],N/A
1747,ENZRXN-22576,cyclopropane-fatty-acyl-phospholipid synthase,G185E-4787-MONOMER,['2.1.1.79-RXN'],N/A
1748,ENZRXN0-7862,phenylacetyl-CoA thioesterase,CPLX0-3941,['RXN0-7104'],N/A
1749,ENZRXN-20458,docosapentaenoyl-lipid 4-desaturase,MONOMER-17425,['RXN-12797'],N/A
1750,ENZRXN-6085,acetyl-CoA:13-[O(2')-&beta;-D-glucopyranosyl-&beta;-D-glucopyranosyloxy]docosanoate acetyltransferase,MONOMER-5942,['DIGLUCO-DOCOSANOATE-ACETYLATION-RXN'],['(ACETYL-COA PROPIONYL-COA)']
1751,ENZRXN-13992,pyridoxine 4-oxidase,MONOMER-13147,['PYRIDOXINE-4-OXIDASE-RXN'],N/A
1752,ENZRXN-22709,9&beta;-stemod-13(17)-ene monooxygenase,MONOMER-18613,['RXN-15437'],N/A
1753,ENZRXN-16801,"(<i>R,S</i>)-piperidine-2-carboxamide",MONOMER-15016,['RXN-10757'],"['(CPD-11620 CPD-11633)', '(CPD-11620 CPD-11631)']"
1754,ENZRXN-20645,questin monooxygenase,MONOMER-17514,['QUESTIN-MONOOXYGENASE-RXN'],N/A
1755,ENZRXN66-5974,fructose-bisphosphate aldolase,CPLX66-300,['RXN-8631'],N/A
1756,ENZRXN-14131,dihydrogeranylgeranyl-bacteriopheophytin reductase,MONOMER-13261,['RXN-8795'],N/A
1757,ENZRXN-24929,protein N-terminal asparagine amidohydrolase,ENSG00000157045-MONOMER,['RXN-17849'],N/A
1758,ENZRXN-16942,5-carboxyvanillate decarboxylase,MONOMER-15125,['RXN-10897'],N/A
1759,ENZRXN-22968,&beta;-<i>D</i>-glucosyl crocetin glucosyltransferase,MONOMER-18779,['RXN-8473'],N/A
1760,ENZRXN-12648,acyl-[acp] thioesterase,AT3G25110-MONOMER,['RXN-7902'],N/A
1761,ENZRXN-14402,ureidoglycolate dehydrogenase,MONOMER-13523,['R165-RXN'],N/A
1762,ENZRXN66-957,lecithin:<i>all-trans</i> retinol acyltransferase,HS04474-MONOMER,['2.3.1.135-RXN'],N/A
1763,ENZRXN-17201,"<i>E,Z</i>-farnesyl diphosphate synthase",G185E-5248-MONOMER,['2.5.1.68-RXN'],N/A
1764,ENZRXN0-8451,UDP kinase,ADENYL-KIN-MONOMER,['UDPKIN-RXN'],N/A
1765,ENZRXNQT-19375,brassinolide 23-O-glucosyltransferase,AT2G36800-MONOMER,['RXNQT-4397'],N/A
1766,ENZRXN-23112,(4<i>R</i>)-perillyl alcohol dehydrogenase,MONOMER-15685,['RXN-15824'],['(CPD-17084 CPD-1002)']
1767,ENZRXN-5283,glutathione reductase,MONOMER-5144,['GLUTATHIONE-REDUCT-NADPH-RXN'],N/A
1768,ENZRXN-14545,(2<i>S</i>)-2-isopropylmalate hydro-lyase (2-isopropylmaleate-forming),CPLX-7557,['3-ISOPROPYLMALISOM-RXN'],N/A
1769,ENZRXN-25314,Lewis a antigen 2-&alpha;-L-fucosyltransferase,HP0093-MONOMER,['RXN-18264'],N/A
1770,ENZRXN-17361,ferribactin synthase,CPLX-7977,['RXN-11126'],N/A
1771,ENZRXN-11866,succinate semialdehyde dehydrogenase,CPLX-6888,['SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN'],"['(SUCC-S-ALD CPD-280)', '(SUCC-S-ALD 6-OXO-HEXANOATE)']"
1772,ENZRXNT9-1907,UDP-D-galactose pyrophosphorylase,AT5G52560-MONOMER,['UTPHEXPURIDYLYLTRANS-RXN'],N/A
1773,ENZRXN0-8293,acetyl-CoA C-acyltransferase,G7213-MONOMER,['RXN-14394'],N/A
1774,ENZRXN-25453,propanoyl-CoA oxidase,CPLX-9180,['RXN-15977'],N/A
1775,ENZRXN-6971,UDP-glucose:acetone cyanohydrin &beta;-glucosyltransferase,MONOMER-6686,['LINAMARIN-SYNTHASE-RXN'],"['(LINAMARIN CPD-10277)', '(2-HYDROXY-2-METHYLPROPANENITRILE ""butanone cyanohydrin"")']"
1776,ENZRXN-12008,methylenetetrahydrofolate dehydrogenase,CPLX-6934,['METHYLENETHFDEHYDROG-NADP-RXN'],N/A
1777,ENZRXN-20920,fatty acid monooxygenase,MONOMER-17698,['RXN-4464'],N/A
1778,ENZRXN-7858,phosphatidylglycerol lysyltransferase,MONOMER-7721,['LYSYLTRANSFERASE-RXN'],N/A
1779,ENZRXN-18740,2-keto-3-deoxy-L-rhamnonate 4-dehydrogenase,CPLX-8240,['RXN-12095'],N/A
1780,ENZRXN-25859,"&beta;-<em>N</em>-acetylglucosaminylglycopeptide &beta;-1,4-galactosyltransferase",HS01519-MONOMER,['RXN-19001'],N/A
1781,ENZRXN-12925,acetyl-CoA:salutaridinol-7-O-acetyltransferase,MONOMER-12301,['2.3.1.150-RXN'],N/A
1782,ENZRXN-21066,pimeloyl-[acp] synthase,BSU30190-MONOMER,['RXN-13834'],N/A
1783,ENZRXN1F-408,12-oxophytodienoate reductase,AT1G76680-MONOMER,['12-OXOPHYTODIENOATE-REDUCTASE-RXN'],N/A
1784,ENZRXN-18888,hydrogen dehydrogenase,CPLX-8255,['HYDROGEN-DEHYDROGENASE-RXN'],N/A
1785,ENZRXN-2336,"1,4-&alpha;-D-glucan glucanohydrolase",CPLX-1965,['RXN-1825'],N/A
1786,ENZRXN-13074,adenylylsulfate reductase,MONOMER-12420,['ADENYLYLSULFATE-REDUCTASE-RXN'],N/A
1787,ENZRXN-21337,"2,5,7-trihydroxyflavanone 6C-glucoside dehydratase",MONOMER-15877,['RXN-14088'],N/A
1788,ENZRXN1G-334,3-hydroxyarchidoyl-[acp] dehydrase,G185E-6762-MONOMER,['RXN1G-320'],N/A
1789,ENZRXN-14867,"2-methyl-6-solanyl-1,4-benzoquinone methyltransferase",MONOMER-13899,['RXN-2762'],N/A
1790,ENZRXN-9883,mycothiol synthase,G185E-4968-MONOMER,['RXN1G-4'],['(ACETYL-COA PROPIONYL-COA)']
1791,ENZRXN-17643,iodide peroxidase,CPLX-8036,['RXN-11337'],N/A
1792,ENZRXN-23492,nystatin aglycone 10-hydroxylase,MONOMER-19116,['RXN-16254'],N/A
1793,MMUM-ENZRXN,homocysteine <i>S</i>-methyltransferase,MMUM-MONOMER,['MMUM-RXN'],"['(CPD-397 S-ADENOSYLMETHIONINE)', '(HOMO-CYS SELENOHOMOCYSTEINE)']"
1794,ENZRXN-21497,cobalt-precorrin 3 methyltransferase,MONOMER-17924,['RXN-8761'],N/A
1795,ENZRXN-25713,phloretin 3-<i>C</i>-glucosyltransferase,MONOMER-15871,['RXN-18724'],N/A
1796,ENZRXN-15023,Fe(III)-phytosiderophore transporter,MONOMER-14005,['TRANS-RXN-172'],N/A
1797,ENZRXN-23735,"2,3-bis-<i>O</i>-(geranylgeranyl)-<i>sn</i>-glycerol 1-phosphate reductase",MONOMER-19243,['RXN-14399'],N/A
1798,ENZRXN-17801,(<i>E</i>)-1-(glycylcystein-<i>S</i>-yl)-4-(methylthio)-butylhydroximate C-S lyase,AT2G20610-MONOMER,['RXN-11438'],N/A
1799,ENZRXN-12284,(3S)-3-methyl-2-oxopentanoate carboxy-lyase,CPLX3O-71,['4.1.1.72-RXN'],N/A
1800,RIBONUCLEOSIDE-TRIP-REDUCT-ENZRXN,ribonucleoside-triphosphate reductase,RIBONUCLEOSIDE-TRIP-REDUCT-CPLX,['RIBONUCLEOSIDE-TRIP-REDUCT-RXN'],N/A
1801,ENZRXN-15329,V-type Na<sup>+</sup>-translocating ATPase,CPLX-7655,['3.6.3.15-RXN'],N/A
1802,ENZRXN3O-1534,alcohol acetyltransferase,YOR377W-MONOMER,['ALCOHOL-O-ACETYLTRANSFERASE-RXN'],"['(|Alcohols| CPD-9057)', '(|Alcohols| OCTANOL)', '(|Alcohols| ETOH)', '(|Alcohols| CPD-7032)', '(|Alcohols| ISOBUTANOL)', '(|Alcohols| BUTANOL)', '(|Alcohols| PENTANOL)', '(|Alcohols| HEXANOL-CMPD)']"
1803,ENZRXN-18048,glucuronate 2-sulfatase,CPLX-8126,['RXN-11571'],N/A
1804,ENZRXN-23865,apicidin synthetase,MONOMER-19321,['RXN-16684'],N/A
1805,ENZRXN-9261,"fructose-1,6-bisphosphate aldolase",CPLX-5521,['F16ALDOLASE-RXN'],"['(FRUCTOSE-16-DIPHOSPHATE D-SEDOHEPTULOSE-1-7-P2)', '(FRUCTOSE-16-DIPHOSPHATE FRU1P)']"
1806,ABC-10-ENZRXN,transport of ferric enterobactin,ABC-10-CPLX,['ABC-10-RXN'],['(FERRIC-ENTEROBACTIN-COMPLEX CPD0-2482)']
1807,ENZRXN-26109,12-<i>epi</i>-fischerindole chlorinase,MONOMER-20411,['RXN-19283'],N/A
1808,ENZRXN-12449,UDP-L-rhamnose:hesperitin- 7-O-&beta;-D-glucoside-2''-O-&beta;-L-rhamnosyltransferase,MONOMER-11932,['RXN-7759'],N/A
1809,ENZRXN-19160,"maltotriose &alpha;-1,4-D-glucanotransferase",CPLX-1973,['AMYLOMALT-RXN'],N/A
1810,ENZRXN-15495,3-<i>O</i>-methylquercetin 7-<i>O</i>-methyltransferase,MONOMER-14287,['2.1.1.82-RXN'],N/A
1811,ENZRXN-13337,(+)-thujopsene synthase,AT5G44630-MONOMER,['RXN-8418'],N/A
1812,ENZRXN-18196,chloro-purine nucleoside phosphorylase,MONOMER-15880,['RXN-11715'],N/A
1813,ENZRXN3O-11252,triacylglycerol lipase,G3O-33618-MONOMER,['TRIACYLGLYCEROL-LIPASE-RXN'],N/A
1814,ENZRXN-26240,pre-pseudomonine synthase,MONOMER-20464,['RXN-19439'],N/A
1815,ENZRXN0-3441,Fe<sup>2+</sup>:H<sup>+</sup> symporter,YFEP-MONOMER,['RXN0-2421'],N/A
1816,ENZRXN-19307,tRNA-dihydrouridine<sup>20b</sup> synthase,G3O-32467-MONOMER,['RXN-12476'],N/A
1817,ENZRXN-21758,methionol dehydrogenase,CPLX-8689,['RXN-7706'],N/A
1818,ENZRXN0-5901,anhydro-<i>N</i>-acetylmuramic acid kinase,G6880-MONOMER,['RXN0-4621'],N/A
1819,ENZRXN-19598,pentalenene oxygenase,MONOMER-16847,['RXN-12649'],N/A
1820,ENZRXN-26611,mupirocin C1 dehydrogenase,MONOMER-20584,['RXN-19874'],N/A
1821,ENZRXN66-1096,"<em>N</em>-acetyllactosaminide &beta;-1,6-<em>N</em>-acetylglucosaminyl-transferase",HS03475-MONOMER,['2.4.1.150-RXN'],N/A
1822,ENZRXN-21905,ginsenoside Rc 3-diglucosidase,CPLX-8718,['RXN-14601'],N/A
1823,ENZRXN-24108,"(2E)-2-methyl-4,6-dioxohept-2-enedioate hydrolase",CPLX-7831,['RXN-16946'],N/A
1824,ENZRXN-19750,homocysteine S-methyltransferase,MONOMER-15250,['MMUM-RXN'],N/A
1825,ENZRXN-22153,maltose transporter,MONOMER-18237,['TRANS-RXN-245'],N/A
1826,ENZRXN66-1790,ethanolamine kinase,HS06586-MONOMER,['ETHANOLAMINE-KINASE-RXN'],N/A
1827,ENZRXN-10021,glutathione peroxidase,CPLX-5861,['GLUTATHIONE-PEROXIDASE-RXN'],['(HYDROGEN-PEROXIDE BUTYL-HYDROPEROXIDE)']
1828,ENZRXN0-7359,malonic semialdehyde reductase,CPLX0-1962,['RXN-8974'],N/A
1829,ENZRXN-15774,cycloartenol synthase,MONOMER-14449,['CYCLOARTENOL-SYNTHASE-RXN'],N/A
1830,ENZRXN-24243,6-aminopenicillanate acyltransferase,CPLX-9042,['RXN-17062'],N/A
1831,ENZRXN-13564,4-tolualdehyde dehydrogenase,CPLX-2543,['RXN-8582'],N/A
1832,ENZRXN-22290,4-hydroxy-2-methylquinoline synthase,CPLX-8783,['RXN-15021'],N/A
1833,ENZRXN-18461,<i>cis</i>-geranyl-CoA carboxylase,CPLX-8200,['GERANOYL-COA-CARBOXYLASE-RXN'],['(CPD-1827 3-METHYL-CROTONYL-COA)']
1834,ENZRXN-10990,"D-<i>myo</i>-inositol (1,4,5,6)-tetrakisphosphate 2-kinase",AT5G42810-MONOMER,['RXN-7182'],N/A
1835,ENZRXN-1628,cysteine synthase,CPLX-1305,['ACSERLY-RXN'],N/A
1836,ENZRXN-15994,2-keto-3-deoxy-D-<i>glycero</i>-D-<i>galacto</i>-nononate-9-phosphate synthase,MONOMER-14547,['RXN-9991'],N/A
1837,ENZRXN66-2107,phosphatidylinositol synthase,HS02513-MONOMER,['2.7.8.11-RXN'],N/A
1838,ENZRXN-13704,choline kinase,MONOMER-12865,['CHOLINE-KINASE-RXN'],N/A
1839,ENZRXN-26481,(20<i>S</i>)-ginsenoside Rh2 2&prime;&prime;-<em>O</em>-glucosyltransferase,MONOMER-20534,['RXN-19699'],N/A
1840,ENZRXN-1648,cystathionine &gamma;-synthase,CPLX-1344,['CYSPH-RXN'],N/A
1841,ENZRXN-24490,deoxypodophyllotoxin hydroxylase,MONOMER-19673,['RXN-8737'],N/A
1842,ENZRXN66-2905,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,HS01560-MONOMER,['PHOSPHAGLYPSYN-RXN'],N/A
1843,ENZRXN0-6508,transport of a tripeptide,B1634-MONOMER,['TRANS-RXN0-267'],"['(TRIPEPTIDES CPD0-2065)', '(TRIPEPTIDES CPD0-2067)', '(TRIPEPTIDES CPD0-2066)', '(TRIPEPTIDES CPD0-2068)', '(TRIPEPTIDES CPD0-2069)', '(TRIPEPTIDES CPD0-2071)', '(TRIPEPTIDES CPD0-2070)', '(TRIPEPTIDES CPD0-2072)', '(TRIPEPTIDES CPD0-2073)', '(TRIPEPTIDES CPD0-1912)', '(TRIPEPTIDES CPD0-1908)', '(TRIPEPTIDES CPD0-1909)', '(TRIPEPTIDES CPD0-1910)', '(TRIPEPTIDES CPD0-1913)', '(TRIPEPTIDES CPD0-1911)', '(TRIPEPTIDES CPD-9227)', '(TRIPEPTIDES DIPEPTIDES)', '(TRIPEPTIDES CPD0-1914)', '(TRIPEPTIDES 5-AMINO-LEVULINATE)']"
1844,ENZRXN-24627,"3,8-divinyl-protochlorophyllide oxidoreductase",AT1G03630-MONOMER,['RXN-5285'],N/A
1845,ENZRXN-2961,deoxyribose-phosphate aldolase,MONOMER-641,['DEOXYRIBOSE-P-ALD-RXN'],N/A
1846,ENZRXN-3585,"catechol 1,2-dioxygenase",CPLX-2842,['CATECHOL-12-DIOXYGENASE-RXN'],N/A
1847,ENZRXN-20040,dihydrodaidzein reductase,MONOMER-17166,['RXN-13101'],N/A
1848,ENZRXN-20184,paromamine phosphoribosyltransferase,MONOMER-17265,['RXN-13207'],N/A
1849,ENZRXN0-7670,8-oxo-GTP-diphosphatase,EG10626-MONOMER,['RXN-11397'],N/A
1850,ENZRXN0-7833,transport of D-sorbitol,CPLX0-231,['TRANS-RXN-169'],N/A
1851,ENZRXN-22560,cyanidin 3-<i>O</i>-galactoside 2''-<i>O</i>-xylosyltransferase,MONOMER-18497,['RXN-13974'],N/A
1852,ENZRXN-6044,pterocarpan synthase,MONOMER-5884,['RXN-3768'],N/A
1853,ENZRXN-20442,"galactan endo-&beta;-1,3-galactohydrolase",MONOMER-17420,['RXN-13437'],N/A
1854,ENZRXN-22693,elloramycin third ring cyclase,MONOMER-18597,['RXN-15412'],N/A
1855,ENZRXN-13974,4-ureido-5-imidazolecarboxylate amidohydrolase,MONOMER-13123,['R128-RXN'],N/A
1856,ENZRXN-20629,orcinol <i>O</i>-methyltransferase,CPLX-8510,['RXN-9017'],N/A
1857,ENZRXN-16786,cysteine conjugate &beta;-lyase,CPLX-7891,['RXN-6763'],N/A
1858,ENZRXN-14115,porphobilinogen synthase,CPLX-7432,['PORPHOBILSYNTH-RXN'],N/A
1859,ENZRXN66-5921,indole acetaldehyde dehydrogenase,HS01061-MONOMER,['RXN-10715'],N/A
1860,ENZRXN-16926,"3-<i>O</i>-methylgallate 3,4-dioxygenase",MONOMER-15115,['RXN-10889'],N/A
1861,ENZRXN-24913,&alpha;-galactosidase,MONOMER-19905,['RXN-17830'],N/A
1862,ENZRXN-12631,dihydropteridine reductase,CPLX-7069,['RXN-7909'],N/A
1863,ENZRXN-22950,fumitremorgin C synthase,MONOMER-18765,['RXN-14415'],N/A
1864,ENZRXN66-867,3-hydroxybutyrate dehydrogenase,CPLX66-212,['3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN'],N/A
1865,ENZRXN-14376,hydroxy-chlorophyll(ide) <i>a</i> reductase,MONOMER-13500,['RXN-7679'],N/A
1866,ENZRXN0-8429,5-amino-6-(D-ribitylamino)uracil glycosidase,EG11579-MONOMER,['RXN-19407'],['(CPD-602 DIAMINO-OH-PHOSPHORIBOSYLAMINO-PYR)']
1867,ENZRXN-17182,NADPH-monodehydroascorbate reductase,CPLX-7940,['RXN-3522'],N/A
1868,ENZRXN-23086,sirohydrochlorin ferrochelatase,MONOMER-18854,['SIROHEME-FERROCHELAT-RXN'],N/A
1869,ENZRXNQT-12710,"1,4-dihydroxy-2-naphthoyl-CoA thiolesterase",AT1G68890-MONOMER,['RXN-9311'],N/A
1870,ENZRXN-14529,citrate synthase,MONOMER-13633,['CITSYN-RXN'],N/A
1871,ENZRXN-5202,inositol monopohsphatase,CPLX-3902,['MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN'],"['(1-L-MYO-INOSITOL-1-P CPD-194)', '(1-L-MYO-INOSITOL-1-P CPD-3705)', '(1-L-MYO-INOSITOL-1-P GLC-1-P)']"
1872,ENZRXN-17337,D-arabitol 5-phosphate dehydrogenase,CPLX-7975,['RXN-11107'],N/A
1873,ENZRXN-25297,type 2 H-antigen <i>N</i>-acetyl-&alpha;-D-galactosaminyltransferase,MONOMER-20075,['RXN-18245'],N/A
1874,ENZRXNQT-9633,2-(3'-methylthio)propylmalate synthase,AT5G23020-MONOMER,['RXNQT-4163'],N/A
1875,ENZRXN-11848,succinylornithine transaminase,CPLX-6881,['SUCCORNTRANSAM-RXN'],N/A
1876,ENZRXN-25433,allantoin racemase,CPLX-9171,['ALLANTOIN-RACEMASE-RXN'],N/A
1877,ENZRXN0-8277,3-hydroxyacyl-CoA dehydrogenase,G7212-MONOMER,['RXN-17794'],N/A
1878,ENZRXN-11992,"(gibberellin-53), 2-oxoglutarate:oxygen oxidoreductase",MONOMER-11641,['RXN1F-167'],N/A
1879,ENZRXN-6936,&alpha;-pinene synthase,AG8-MONOMER,['RXN-5106'],N/A
1880,ENZRXN-7781,guanidinoacetate methyltransferase,MONOMER-7641,['GUANIDINOACETATE-N-METHYLTRANSFERASE-RXN'],N/A
1881,ENZRXN-20899,benzyl 6-<i>O</i>-&beta;-<i>L</i>-apiofuranosyl-&beta;-<i>D</i>-glucopyranoside glucosidase (Yabukita),MONOMER-17687,['RXN-13696'],N/A
1882,ENZRXN-25840,"Man<sub>7</sub>GlcNAc<sub>2</sub> isomer 7A<sub>1,2,3</sub>B<sub>2</sub> 1,2-&alpha;-mannosidase",HS05846-MONOMER,['RXN-18920'],N/A
1883,ENZRXN-18723,docosanoyl-CoA 22-hydroxylase,AT5G23190-MONOMER,['RXN-12155'],N/A
1884,ENZRXN-21048,cyanide hydratase,CPLX-8578,['CYANIDE-HYDRATASE-RXN'],N/A
1885,ENZRXN-12909,"L-<i>erythro</i>-3,5-diaminohexanoate dehydrogenase",CPLX-7128,['1.4.1.11-RXN'],N/A
1886,ENZRXN-18869,polyphenol oxidase,MONOMER-16344,['CATECHOL-OXIDASE-RXN'],N/A
1887,ENZRXN1F-1491,S-adenosyl-L-methionine:homocysteine S-methyltransferase,AT3G63250-MONOMER,['HOMOCYSTEINE-S-METHYLTRANSFERASE-RXN'],N/A
1888,ENZRXN-13056,anthocyanin 3'-<i>O</i>-glucosyltransferase,MONOMER-12402,['RXN-8208'],N/A
1889,ENZRXN-23344,icosatrienoyl-lipid 8-desaturase,MONOMER-19040,['RXN-16101'],N/A
1890,ENZRXN1G-274,cis-delta19-C38:1-[acyl-carrier protein]:malonyl-[acyl-carrier protein] malonyltransferase,CPLX-9320,['RXN1G-132'],N/A
1891,ENZRXN-21313,UTP phosphatase,MONOMER-17884,['RXN-12196'],N/A
1892,ENZRXN-9844,L-cysteine : 1 D-<i>myo</i>-inositol 2-amino-2-deoxy-&alpha;-D-glucopyranoside ligase,CPLX-5721,['RXN1G-121'],N/A
1893,ENZRXN-14847,"4,4'-diaponeurosporenoate glycosyltransferase",MONOMER-13882,['RXN-9308'],N/A
1894,ENZRXN-23476,prochaetoglobosin IV monooxygenase,MONOMER-19103,['RXN-16186'],N/A
1895,ENZRXN-17626,lipid IV<sub>A</sub> (2-6) 3-deoxy-D-<i>manno</i>-octulosonic acid transferase,MONOMER-15506,['KDOTRANS-RXN'],N/A
1896,ENZRXN-21477,dAMP kinase,YDR226W-MONOMER,['DEOXYADENYLATE-KINASE-RXN'],N/A
1897,MANNPISOM-ENZRXN,mannose-6-phosphate isomerase,MANNPISOM-MONOMER,['MANNPISOM-RXN'],N/A
1898,ENZRXN-15006,terpentetriene synthase,CPLX-7609,['RXN-9455'],N/A
1899,ENZRXN-25696,procollagen glucosyltransferase,MONOMER-20245,['PROCOLLAGEN-GLUCOSYLTRANSFERASE-RXN'],N/A
1900,ENZRXN-17783,D-glucuronate dehydrogenase,CPLX-8987,['RXN-11407'],['(CPD-12521 CPD-12524)']
1901,ENZRXN-23719,echinocandin synthetase,MONOMER-19231,['RXN-16504'],N/A
1902,QUINOLINATE-SYNTHA-ENZRXN,quinolinate synthase,CPLX0-7719,['QUINOLINATE-SYNTHA-RXN'],N/A
1903,ENZRXN-12265,"methylglutaconyl-CoA hydratase, mitochondrial",CPLX-6998,['METHYLGLUTACONYL-COA-HYDRATASE-RXN'],N/A
1904,ENZRXN3O-1467,inosine monophosphate cyclohydrolase,CPLX-8638,['IMPCYCLOHYDROLASE-RXN'],N/A
1905,ENZRXN-15302,3-oxo-palmitoyl-[acp] synthase,CPLX-7628,['RXN-9654'],N/A
1906,ENZRXN-23850,sulfoquinovosyldiacylglycerol synthase,SYNPCC7942_0579-MONOMER,['RXN-1224'],N/A
1907,ENZRXN-18027,[heparan-sulfate]-6-<i>O</i>-sulfotransferase,ENSG00000171004-MONOMER,['RXN-11562'],N/A
1908,3-OXOACYL-ACP-COA-SYNTHIII-ENZRXN,&beta;-ketoacyl-ACP synthase,CPLX0-252,['2.3.1.180-RXN'],"['(ACETYL-COA BUTYRYL-COA)', '(ACETYL-COA PROPIONYL-COA)']"
1909,ENZRXN-9121,UDP-galactose pyrophosphorylase,MONOMER-8961,['UTPHEXPURIDYLYLTRANS-RXN'],N/A
1910,ENZRXN-12433,nicotinate N-methyltransferase,MONOMER-11926,['NICOTINATE-N-METHYLTRANSFERASE-RXN'],N/A
1911,ENZRXN-26092,L-tryptophan isonitrile synthase,MONOMER-20396,['RXN-19264'],N/A
1912,ENZRXN-15473,<i>N</i>-succinylornithine carbamoyltransferase,MONOMER-14262,['RXN-9778'],N/A
1913,ENZRXN-19142,sulfur reductase,CPLX-8600,['RXN-8269'],N/A
1914,ENZRXN-18176,FAD-AMP lyase (cyclizing),CPLX-8143,['RXN-11695'],"['(FAD GUANOSINE_DIPHOSPHATE_FUCOSE)', '(FAD ADP-D-GLUCOSE)']"
1915,ENZRXN-13319,cometabolic reductive dechlorination of methyl chloride,CPLX-302,['RXN-8410'],N/A
1916,ENZRXN-26223,"4-methylcatechol 2,3-dioxygenase",MONOMER-11210,['RXN-11219'],N/A
1917,ENZRXN3O-1101,orotidine-5'-phosphate decarboxylase,YEL021W-MONOMER,['OROTPDECARB-RXN'],N/A
1918,ENZRXN-19289,molybdopterin molybdotransferase,ENSG00000171723-MONOMER,['RXN-8348'],N/A
1919,ENZRXN0-3041,carbonic anhydrase,CPLX0-7521,['CARBODEHYDRAT-RXN'],N/A
1920,ENZRXN0-5702,methylglyoxal reductase,MONOMER0-149,['RXN0-4281'],['(METHYL-GLYOXAL PHENYLGLYOXAL)']
1921,ENZRXN-21739,L-4-hydroxyglutamate semialdehyde dehydrogenase,MONOMER-12107,['RXN-14472'],N/A
1922,ENZRXN-26595,marinolic acid--CoA ligase,MONOMER-19800,['RXN-19844'],N/A
1923,ENZRXN-19581,pentalenene oxygenase,MONOMER-16833,['RXN-12649'],N/A
1924,ENZRXN-21889,indole-3-acetate monooxygenase,MONOMER-18108,['RXN-14711'],N/A
1925,ENZRXN66-1027,<i>N</i>-acetylgalactosamine-4-sulfatase,HS03665-MONOMER,['3.1.6.12-RXN'],N/A
1926,ENZRXN-19734,ATP-dependent NADH-hydrate dehydratase,ENSG00000153481-MONOMER,['4.2.1.93-RXN'],N/A
1927,ENZRXN-24093,dimeric rubrofusarin 9-hydroxylase,MONOMER-19451,['RXN-16928'],N/A
1928,ENZRXN66-1758,glyceraldehyde-3-phosphate dehydrogenase,CPLX-8377,['GAPOXNPHOSPHN-RXN'],N/A
1929,ENZRXN-22135,hexaprenyl-diphosphate synthase,MONOMER-18230,['TRANS-PENTAPRENYLTRANSFERASE-RXN'],N/A
1930,ENZRXN0-7339,transport of cobinamide,CPLX0-1924,['TRANS-RXN0-283'],N/A
1931,DUTP-PYROP-ENZRXN,deoxyuridine triphosphatase,DUTP-PYROP-CPLX,['DUTP-PYROP-RXN'],N/A
1932,ENZRXN-24228,isopenicillin N acyltransferase,CPLX-9037,['2.3.1.164-RXN'],N/A
1933,ENZRXN-15755,salicylate 1-hydroxylase,MONOMER-14434,['SALICYLATE-1-MONOOXYGENASE-RXN'],N/A
1934,ENZRXN-22274,[LysW]-L-2-aminoadipate semialdehyde transaminase,MONOMER-18314,['RXN-5184'],N/A
1935,ENZRXN-13548,&beta;-longipinene synthase,MONOMER-12770,['RXN-8559'],N/A
1936,ENZRXN-10902,cholinephosphotransferase,AT3G25585-MONOMER,['RXN-5781'],N/A
1937,ENZRXN-18442,"4&alpha;-carboxy-stigmasta-7,24(24<sup>1</sup>)-dien-3&beta;-ol dehydrogenase/C4-decarboxylase",AT1G47290-MONOMER,['RXN-11938'],N/A
1938,ENZRXN-15977,NADH-cytochrome <i>b<sub>5</sub></i> reductase,MONOMER-14527,['CYTOCHROME-B5-REDUCTASE-RXN'],N/A
1939,ENZRXN-16219,serine racemase,MONOMER-14687,['5.1.1.18-RXN'],N/A
1940,ENZRXN-13683,6-phosphofructokinase,MONOMER-12841,['6PFRUCTPHOS-RXN'],N/A
1941,ENZRXN-26465,soyasapogenol B 22-O-glucosyl transferase,MONOMER-13693,['RXN-19688'],N/A
1942,ENZRXN-18589,"3',5'-diiodothyronamine 5'-deiodinase",CPLX-7847,['RXN-12054'],N/A
1943,ENZRXN-24473,UMP phosphorylase,MONOMER-13274,['RXN-14700'],N/A
1944,ENZRXN-16465,indole-3-acetyl-phenylalanine synthetase,AT4G27260-MONOMER,['RXN-9084'],N/A
1945,ENZRXN0-6462,glycine betaine:H<sup>+</sup> symporter,CPLX0-7642,['TRANS-RXN-29A'],N/A
1946,ENZRXN66-2686,isocitrate dehydrogenase,CPLX66-11,['ISOCITRATE-DEHYDROGENASE-NAD+-RXN'],N/A
1947,ENZRXN-2906,transketolase,MONOMER-583,"['1TRANSKETO-RXN', '2TRANSKETO-RXN']",N/A
1948,ENZRXN-24612,8-ethyl-12-methyl-3-vinylbacteriochlorophyllide <i>d</i> C-12<sup>1</sup>-methyltransferase,MONOMER-19719,['RXN-17430'],N/A
