,entry,reaction,product
138,1.14.14.44,"['(E)-phenylacetaldehyde oxime + [reduced NADPH---hemoprotein reductase] + O2 = (R)-mandelonitrile + [oxidized NADPH---hemoprotein reductase] + 2 H2O (overall reaction) [RN:R11732]', '(1a) (E)-phenylacetaldehyde oxime = (Z)-phenylacetaldehyde oxime [RN:R10041]', '(1b) (Z)-phenylacetaldehyde oxime = phenylacetonitrile + H2O [RN:R07638]', '(1c) phenylacetonitrile + [reduced NADPH---hemoprotein reductase] + O2 = (R)-mandelonitrile + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R11733]']","['(R)-mandelonitrile [CPD:C00561]', '[oxidized NADPH---hemoprotein reductase] [CPD:C03161]', 'H2O [CPD:C00001]', '(Z)-phenylacetaldehyde oxime [CPD:C16075]', 'phenylacetonitrile [CPD:C16074]', '(E)-phenylacetaldehyde oxime [CPD:C19714]', '[reduced NADPH---hemoprotein reductase] [CPD:C03024]', 'O2 [CPD:C00007]', '(Z)-phenylacetaldehyde oxime [CPD:C16075]', 'phenylacetonitrile [CPD:C16074]']"
139,1.14.14.45,"['(1) (E)-indol-3-ylacetaldehyde oxime + [reduced NADPH---hemoprotein reductase] + glutathione + O2 = S-[(E)-N-hydroxy(indol-3-yl)acetimidoyl]-L-glutathione + [oxidized NADPH---hemoprotein reductase] + 2 H2O (overall reaction) [RN:R11734]', '(1a) (E)-indol-3-ylacetaldehyde oxime + [reduced NADPH---hemoprotein reductase] + O2 = 1-(1H-indol-3-yl)-2-aci-nitroethane + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R11735]', '(1b) 1-(1H-indol-3-yl)-2-aci-nitroethane + glutathione = S-[(E)-N-hydroxy(indol-3-yl)acetimidoyl]-L-glutathione + H2O (spontaneous) [RN:R11736]', '(2) (E)-phenylacetaldehyde oxime + [reduced NADPH---hemoprotein reductase] + glutathione + O2 = S-[(Z)-N-hydroxy(phenyl)acetimidoyl]-L-glutathione + [oxidized NADPH---hemoprotein reductase] + 2 H2O (overall reaction) [RN:R11737]', '(2a) (E)-phenylacetaldehyde oxime + [reduced NADPH---hemoprotein reductase] + O2 = 1-aci-nitro-2-phenylethane + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R11738]', '(2b) 1-aci-nitro-2-phenylethane + glutathione = S-[(Z)-N-hydroxy(phenyl)acetimidoyl]-L-glutathione + H2O (spontaneous) [RN:R11739]']","['S-[(E)-N-hydroxy(indol-3-yl)acetimidoyl]-L-glutathione [CPD:C21620]', '[oxidized NADPH---hemoprotein reductase] [CPD:C03161]', 'H2O [CPD:C00001]', '1-(1H-indol-3-yl)-2-aci-nitroethane [CPD:C17204]', 'S-[(Z)-N-hydroxy(phenyl)acetimidoyl]-L-glutathione [CPD:C21622]', '1-aci-nitro-2-phenylethane [CPD:C21623]', '(E)-indol-3-ylacetaldehyde oxime', '[reduced NADPH---hemoprotein reductase] [CPD:C03024]', 'glutathione [CPD:C00051]', 'O2 [CPD:C00007]', '1-(1H-indol-3-yl)-2-aci-nitroethane [CPD:C17204]', '(E)-phenylacetaldehyde oxime [CPD:C19714]', '1-aci-nitro-2-phenylethane [CPD:C21623]']"
140,1.14.14.46,"['a long-chain acyl-[acyl-carrier protein] + 2 reduced flavodoxin + 3 O2 = pimeloyl-[acyl-carrier protein] + an n-alkanal + 2 oxidized flavodoxin + 3 H2O (overall reaction) [RN:R10123]', '(1a) a long-chain acyl-[acyl-carrier protein] + reduced flavodoxin + O2 = a (7S)-7-hydroxy-long-chain-acyl-[acyl-carrier protein] + oxidized flavodoxin + H2O', '(1b) a (7S)-7-hydroxy-long-chain-acyl-[acyl-carrier protein] + reduced flavodoxin + O2 = a (7R,8R)-7,8-dihydroxy-long-chain-acyl-[acyl-carrier protein] + oxidized flavodoxin + H2O', '(1c) a (7R,8R)-7,8-dihydroxy-long-chain-acyl-[acyl-carrier protein] + reduced flavodoxin + O2 = a 7-oxoheptanoyl-[acyl-carrier protein] + an n-alkanal + oxidized flavodoxin + 2 H2O', '(1d) a 7-oxoheptanoyl-[acyl-carrier protein] + oxidized flavodoxin + H2O = a pimeloyl-[acyl-carrier protein] + reduced flavodoxin + H+']","['pimeloyl-[acyl-carrier protein] [CPD:C19845]', 'n-alkanal [CPD:C15596]', 'oxidized flavodoxin [CPD:C02869]', 'H2O [CPD:C00001]', '(7S)-7-hydroxy-long-chain-acyl-[acyl-carrier protein]', '(7R,8R)-7,8-dihydroxy-long-chain-acyl-[acyl-carrier protein]', '7-oxoheptanoyl-[acyl-carrier protein]', 'reduced flavodoxin [CPD:C02745]', 'H+ [CPD:C00080]', 'long-chain acyl-[acyl-carrier protein] [CPD:C20683]', 'reduced flavodoxin [CPD:C02745]', 'O2 [CPD:C00007]', '(7S)-7-hydroxy-long-chain-acyl-[acyl-carrier protein]', '(7R,8R)-7,8-dihydroxy-long-chain-acyl-[acyl-carrier protein]', '7-oxoheptanoyl-[acyl-carrier protein]', 'oxidized flavodoxin [CPD:C02869]', 'H2O [CPD:C00001]']"
141,1.14.14.47,"['2 L-arginine + 3 reduced flavodoxin + 4 O2 = 2 L-citrulline + 2 nitric oxide + 3 oxidized flavodoxin + 4 H2O (overall reaction) [RN:R11711]', '(1a) 2 L-arginine + 2 reduced flavodoxin + 2 O2 = 2 Nomega-hydroxy-L-arginine + 2 oxidized flavodoxin + 2 H2O  [RN:R11712]', '(1b) 2 Nomega-hydroxy-L-arginine + reduced flavodoxin + 2 O2 = 2 L-citrulline + 2 nitric oxide + oxidized flavodoxin + 2 H2O [RN:R11713]']","['L-citrulline [CPD:C00327]', 'nitric oxide [CPD:C00533]', 'oxidized flavodoxin [CPD:C02869]', 'H2O [CPD:C00001]', 'Nomega-hydroxy-L-arginine [CPD:C05933]', 'L-arginine [CPD:C00062]', 'reduced flavodoxin [CPD:C02745]', 'O2 [CPD:C00007]', 'Nomega-hydroxy-L-arginine [CPD:C05933]']"
142,1.14.14.49,"['a 12-hydroxyjasmonoyl-L-amino acid + 2 [reduced NADPH---hemoprotein reductase] + 2 O2 = a 12-hydroxy-12-oxojasmonoyl-L-amino acid + 2 [oxidized NADPH---hemoprotein reductase] + 3 H2O (overall reaction) [RN:R11807]', '(1a) a 12-hydroxyjasmonoyl-L-amino acid + [reduced NADPH---hemoprotein reductase] + O2 = a 12-oxojasmonoyl-L-amino acid + [oxidized NADPH---hemoprotein reductase] + 2 H2O [RN:R11808]', '(1b) a 12-oxojasmonoyl-L-amino acid + [reduced NADPH---hemoprotein reductase] + O2 = a 12-hydroxy-12-oxojasmonoyl-L-amino acid + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R11809]']","['12-hydroxy-12-oxojasmonoyl-L-amino acid [CPD:C21697]', '[oxidized NADPH---hemoprotein reductase] [CPD:C03161]', 'H2O [CPD:C00001]', '12-oxojasmonoyl-L-amino acid [CPD:C21699]', '12-hydroxyjasmonoyl-L-amino acid [CPD:C21696]', '[reduced NADPH---hemoprotein reductase] [CPD:C03024]', 'O2 [CPD:C00007]', '12-oxojasmonoyl-L-amino acid [CPD:C21699]']"
143,1.14.14.50,"['(1) 16-methoxytabersonine + [reduced NADPH---hemoprotein reductase] + O2 = (3R)-3-hydroxy-16-methoxy-1,2-didehydro-2,3-dihydrotabersonine + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R11810]', '(2) tabersonine + [reduced NADPH---hemoprotein reductase] + O2 = (3R)-3-hydroxy-1,2-didehydro-2,3-dihydrotabersonine + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R11811]']","['(3R)-3-hydroxy-16-methoxy-1,2-didehydro-2,3-dihydrotabersonine [CPD:C21678]', '[oxidized NADPH---hemoprotein reductase] [CPD:C03161]', 'H2O [CPD:C00001]', '(3R)-3-hydroxy-1,2-didehydro-2,3-dihydrotabersonine [CPD:C21683]', '16-methoxytabersonine [CPD:C11675]', '[reduced NADPH---hemoprotein reductase] [CPD:C03024]', 'O2 [CPD:C00007]', 'tabersonine [CPD:C09244]']"
144,1.14.14.57,"['(1) taurochenodeoxycholate + [reduced NADPH---hemoprotein reductase] + O2 = taurohyocholate + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R07205]', '(2) lithocholate + [reduced NADPH---hemoprotein reductase] + O2 = hyodeoxycholate + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R07206]']","['taurohyocholate [CPD:C15516]', '[oxidized NADPH---hemoprotein reductase] [CPD:C03161]', 'H2O [CPD:C00001]', 'hyodeoxycholate [CPD:C15517]', 'taurochenodeoxycholate [CPD:C05465]', '[reduced NADPH---hemoprotein reductase] [CPD:C03024]', 'O2 [CPD:C00007]', 'lithocholate [CPD:C03990]']"
145,1.14.14.69,"['ent-cassa-12,15-diene + 3 [reduced NADPH---hemoprotein reductase] + 3 O2 = ent-3beta-hydroxycassa-12,15-dien-2-one + 3 [oxidized NADPH---hemoprotein reductase] + 4 H2O (overall reaction) [RN:R11981]', '(1a) ent-cassa-12,15-diene + [reduced NADPH---hemoprotein reductase] + O2 = ent-cassa-12,15-dien-2beta-ol + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R11982]', '(1b) ent-cassa-12,15-dien-2beta-ol + [reduced NADPH---hemoprotein reductase] + O2 = ent-cassa-12,15-dien-2-one + [oxidized NADPH---hemoprotein reductase] + 2 H2O [RN:R11983]', ""(1b') ent-cassa-12,15-dien-2beta-ol + [reduced NADPH---hemoprotein reductase] + O2 = ent-cassa-12,15-diene-2beta,3beta-diol + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R11985]"", '(1c) ent-cassa-12,15-dien-2-one + [reduced NADPH---hemoprotein reductase] + O2 = ent-3beta-hydroxycassa-12,15-dien-2-one + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R11984]', ""(1c') ent-cassa-12,15-diene-2beta,3beta-diol + [reduced NADPH---hemoprotein reductase] + O2 = ent-3beta-hydroxycassa-12,15-dien-2-one + [oxidized NADPH---hemoprotein reductase] + 2 H2O [RN:R11986]""]","['ent-3beta-hydroxycassa-12,15-dien-2-one [CPD:C21826]', '[oxidized NADPH---hemoprotein reductase] [CPD:C03161]', 'H2O [CPD:C00001]', 'ent-cassa-12,15-dien-2beta-ol [CPD:C21827]', 'ent-cassa-12,15-dien-2-one [CPD:C21828]', 'ent-cassa-12,15-diene-2beta,3beta-diol [CPD:C21829]', 'ent-cassa-12,15-diene [CPD:C18226]', '[reduced NADPH---hemoprotein reductase] [CPD:C03024]', 'O2 [CPD:C00007]', 'ent-cassa-12,15-dien-2beta-ol [CPD:C21827]', ""(1b') ent-cassa-12,15-dien-2beta-ol"", 'ent-cassa-12,15-dien-2-one [CPD:C21828]', ""(1c') ent-cassa-12,15-diene-2beta,3beta-diol""]"
146,1.14.14.71,"['cucurbitadienol + 2 [reduced NADPH---hemoprotein reductase] + 2 O2 = 11-oxocucurbitadienol + 2 [oxidized NADPH---hemoprotein reductase] + 3 H2O (overall reaction) [RN:R12007]', '(1a) cucurbitadienol + [reduced NADPH---hemoprotein reductase] + O2 = 11-hydroxycucurbitadienol + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R12008]', '(1b) 11-hydroxycucurbitadienol + [reduced NADPH---hemoprotein reductase] + O2 = 11-oxocucurbitadienol + [oxidized NADPH---hemoprotein reductase] + 2 H2O [RN:R12009]']","['11-oxocucurbitadienol [CPD:C21841]', '[oxidized NADPH---hemoprotein reductase] [CPD:C03161]', 'H2O [CPD:C00001]', '11-hydroxycucurbitadienol [CPD:C21842]', 'cucurbitadienol [CPD:C19819]', '[reduced NADPH---hemoprotein reductase] [CPD:C03024]', 'O2 [CPD:C00007]', '11-hydroxycucurbitadienol [CPD:C21842]']"
147,1.14.14.73,"['(1) albendazole + [reduced NADPH---hemoprotein reductase] + O2 = albendazole S-oxide + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R12068]', '(2) fenbendazole + [reduced NADPH---hemoprotein reductase] + O2 = fenbendazole S-oxide + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R12069]']","['albendazole S-oxide [CPD:C02809]', '[oxidized NADPH---hemoprotein reductase] [CPD:C03161]', 'H2O [CPD:C00001]', 'fenbendazole S-oxide [CPD:C21882]', 'albendazole [CPD:C01779]', '[reduced NADPH---hemoprotein reductase] [CPD:C03024]', 'O2 [CPD:C00007]', 'fenbendazole [CPD:C21876]']"
148,1.14.14.76,"['ent-isokaurene + 2 O2 + 2 [reduced NADPH---hemoprotein reductase] = ent-isokaurene-2beta,3beta-diol + [oxidized NADPH---hemoprotein reductase] + 2 H2O (overall reaction) [RN:R12058]', '(1a) ent-isokaurene + O2 + [reduced NADPH---hemoprotein reductase] = ent-isokauren-2beta-ol + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R09861]', '(1b) ent-isokauren-2beta-ol + O2 + [reduced NADPH---hemoprotein reductase] = ent-isokaurene-2beta,3beta-diol + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R11978]']","['ent-isokaurene-2beta,3beta-diol [CPD:C21831]', '[oxidized NADPH---hemoprotein reductase] [CPD:C03161]', 'H2O [CPD:C00001]', 'ent-isokauren-2beta-ol [CPD:C20146]', 'ent-isokaurene [CPD:C20145]', 'O2 [CPD:C00007]', '[reduced NADPH---hemoprotein reductase] [CPD:C03024]', 'ent-isokauren-2beta-ol [CPD:C20146]']"
149,1.14.14.81,"[""a flavanone + 2 [reduced NADPH---hemoprotein reductase] + 2 O2 = a 3',5'-dihydroxyflavanone + 2 [oxidized NADPH---hemoprotein reductase] + 2 H2O (overall reaction) [RN:R10069]"", ""(1a) a flavanone + [reduced NADPH---hemoprotein reductase] + O2 = a 3'-hydroxyflavanone + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R07369]"", ""(1b) a 3'-hydroxyflavanone + [reduced NADPH---hemoprotein reductase] + O2 = a 3',5'-dihydroxyflavanone + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R07370]""]","[""3',5'-dihydroxyflavanone [CPD:C15609]"", '[oxidized NADPH---hemoprotein reductase] [CPD:C03161]', 'H2O [CPD:C00001]', ""3'-hydroxyflavanone [CPD:C15204]"", 'flavanone [CPD:C00766]', '[reduced NADPH---hemoprotein reductase] [CPD:C03024]', 'O2 [CPD:C00007]', ""3'-hydroxyflavanone [CPD:C15204]""]"
150,1.14.14.84,"['linalool + 2 [reduced NADPH---hemoprotein reductase] + 2 O2 = (6E)-8-oxolinalool + 2 [oxidized NADPH---hemoprotein reductase] + 3 H2O (overall reaction) [RN:R09925]', '(1a) linalool + [reduced NADPH---hemoprotein reductase] + O2 = (6E)-8-hydroxylinalool + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R04366]', '(1b) (6E)-8-hydroxylinalool + [reduced NADPH---hemoprotein reductase] + O2 = (6E)-8-oxolinalool + [oxidized NADPH---hemoprotein reductase] + 2 H2O [RN:R09924]']","['(6E)-8-oxolinalool [CPD:C20221]', '[oxidized NADPH---hemoprotein reductase] [CPD:C03161]', 'H2O [CPD:C00001]', '(6E)-8-hydroxylinalool [CPD:C04433]', 'linalool [CPD:C03985]', '[reduced NADPH---hemoprotein reductase] [CPD:C03024]', 'O2 [CPD:C00007]', '(6E)-8-hydroxylinalool [CPD:C04433]']"
151,1.14.14.86,"['ent-kaur-16-ene + 3 [reduced NADPH---hemoprotein reductase] + 3 O2 = ent-kaur-16-en-19-oate + 3 [oxidized NADPH---hemoprotein reductase] + 4 H2O (overall reaction) [RN:R10066]', '(1a) ent-kaur-16-ene + [reduced NADPH---hemoprotein reductase] + O2 = ent-kaur-16-en-19-ol + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R06291]', '(1b) ent-kaur-16-en-19-ol + [reduced NADPH---hemoprotein reductase] + O2 = ent-kaur-16-en-19-al + [oxidized NADPH---hemoprotein reductase] + 2 H2O [RN:R06292]', '(1c) ent-kaur-16-en-19-al + [reduced NADPH---hemoprotein reductase] + O2 = ent-kaur-16-en-19-oate + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R06293]']","['ent-kaur-16-en-19-oate [CPD:C11874]', '[oxidized NADPH---hemoprotein reductase] [CPD:C03161]', 'H2O [CPD:C00001]', 'ent-kaur-16-en-19-ol [CPD:C11872]', 'ent-kaur-16-en-19-al [CPD:C11873]', 'ent-kaur-16-ene [CPD:C06090]', '[reduced NADPH---hemoprotein reductase] [CPD:C03024]', 'O2 [CPD:C00007]', 'ent-kaur-16-en-19-ol [CPD:C11872]', 'ent-kaur-16-en-19-al [CPD:C11873]']"
152,1.14.14.87,"[""(1) liquiritigenin + O2 + [reduced NADPH---hemoprotein reductase] = 2,4',7-trihydroxyisoflavanone + H2O + [oxidized NADPH---hemoprotein reductase] [RN:R07777]"", ""(2) (2S)-naringenin + O2 + [reduced NADPH---hemoprotein reductase] = 2,4',5,7-tetrahydroxyisoflavanone + H2O + [oxidized NADPH---hemoprotein reductase] [RN:R07778]""]","[""2,4',7-trihydroxyisoflavanone [CPD:C15567]"", 'H2O [CPD:C00001]', '[oxidized NADPH---hemoprotein reductase] [CPD:C03161]', ""2,4',5,7-tetrahydroxyisoflavanone [CPD:C12631]"", 'liquiritigenin [CPD:C09762]', 'O2 [CPD:C00007]', '[reduced NADPH---hemoprotein reductase] [CPD:C03024]', '(2S)-naringenin [CPD:C00509]']"
153,1.14.14.95,"['(+)-germacrene A + 3 [reduced NADPH---hemoprotein reductase] + 3 O2 = germacra-1(10),4,11(13)-trien-12-oate + 3 [oxidized NADPH---hemoprotein reductase] + 4 H2O (overall reaction) [RN:R12128]', '(1a) (+)-germacrene A + O2 + [reduced NADPH---hemoprotein reductase] = germacra-1(10),4,11(13)-trien-12-ol + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R09549]', '(1b) germacra-1(10),4,11(13)-trien-12-ol + O2 + [reduced NADPH---hemoprotein reductase] = germacra-1(10),4,11(13)-trien-12-al + [oxidized NADPH---hemoprotein reductase] + 2 H2O [RN:R12129]', '(1c) germacra-1(10),4,11(13)-trien-12-al + O2 + [reduced NADPH---hemoprotein reductase] = germacra-1(10),4,11(13)-trien-12-oate + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R12130]']","['germacra-1(10),4,11(13)-trien-12-oate [CPD:C19678]', '[oxidized NADPH---hemoprotein reductase] [CPD:C03161]', 'H2O [CPD:C00001]', 'germacra-1(10),4,11(13)-trien-12-ol [CPD:C19676]', 'germacra-1(10),4,11(13)-trien-12-al [CPD:C19677]', '(+)-germacrene A [CPD:C16141]', '[reduced NADPH---hemoprotein reductase] [CPD:C03024]', 'O2 [CPD:C00007]', 'germacra-1(10),4,11(13)-trien-12-ol [CPD:C19676]', 'germacra-1(10),4,11(13)-trien-12-al [CPD:C19677]']"
154,1.14.14.107,"['ent-kaur-16-en-19-oate + 3 [reduced NADPH---hemoprotein reductase] + 3 O2 = gibberellin A12 + 3 [oxidized NADPH---hemoprotein reductase] + 4 H2O (overall reaction) [RN:R10067]', '(1a) ent-kaur-16-en-19-oate + [reduced NADPH---hemoprotein reductase] + O2 = ent-7alpha-hydroxykaur-16-en-19-oate + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R06294]', '(1b) ent-7alpha-hydroxykaur-16-en-19-oate + [reduced NADPH---hemoprotein reductase] + O2 = gibberellin A12 aldehyde + [oxidized NADPH---hemoprotein reductase] + 2 H2O [RN:R06295]', '(1c) gibberellin A12 aldehyde + [reduced NADPH---hemoprotein reductase] + O2 = gibberellin A12 + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R06297]']","['gibberellin A12 [CPD:C11857]', '[oxidized NADPH---hemoprotein reductase] [CPD:C03161]', 'H2O [CPD:C00001]', 'ent-7alpha-hydroxykaur-16-en-19-oate [CPD:C11875]', 'gibberellin A12 aldehyde [CPD:C06093]', 'ent-kaur-16-en-19-oate [CPD:C11874]', '[reduced NADPH---hemoprotein reductase] [CPD:C03024]', 'O2 [CPD:C00007]', 'ent-7alpha-hydroxykaur-16-en-19-oate [CPD:C11875]', 'gibberellin A12 aldehyde [CPD:C06093]']"
155,1.14.14.111,"['9beta-pimara-7,15-diene + 3 O2 + 3 [reduced NADPH---hemoprotein reductase] = 9beta-pimara-7,15-dien-19-oate + 3 [oxidized NADPH---hemoprotein reductase] + 4 H2O (overall reaction) [RN:R09865]', '(1a) 9beta-pimara-7,15-diene + O2 + [reduced NADPH---hemoprotein reductase] = 9beta-pimara-7,15-dien-19-ol + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R09862]', '(1b) 9beta-pimara-7,15-dien-19-ol + O2 + [reduced NADPH---hemoprotein reductase] = 9beta-pimara-7,15-dien-19-al + [oxidized NADPH---hemoprotein reductase] + 2 H2O [RN:R09863]', '(1c) 9beta-pimara-7,15-dien-19-al + O2 + [reduced NADPH---hemoprotein reductase] = 9beta-pimara-7,15-dien-19-oate + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R09864]']","['9beta-pimara-7,15-dien-19-oate [CPD:C20149]', '[oxidized NADPH---hemoprotein reductase] [CPD:C03161]', 'H2O [CPD:C00001]', '9beta-pimara-7,15-dien-19-ol [CPD:C20147]', '9beta-pimara-7,15-dien-19-al [CPD:C20148]', '9beta-pimara-7,15-diene [CPD:C18225]', 'O2 [CPD:C00007]', '[reduced NADPH---hemoprotein reductase] [CPD:C03024]', '9beta-pimara-7,15-dien-19-ol [CPD:C20147]', '9beta-pimara-7,15-dien-19-al [CPD:C20148]']"
156,1.14.14.114,"['amorpha-4,11-diene + 3 O2 + 3 [reduced NADPH---hemoprotein reductase] = artemisinate + 3 [oxidized NADPH---hemoprotein reductase] + 4 H2O (overall reaction) [RN:R10026]', '(1a) amorpha-4,11-diene + O2 + [reduced NADPH---hemoprotein reductase] = artemisinic alcohol + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R10023]', '(1b) artemisinic alcohol + O2 + [reduced NADPH---hemoprotein reductase] = artemisinic aldehyde + [oxidized NADPH---hemoprotein reductase] + 2 H2O [RN:R10024]', '(1c) artemisinic aldehyde + O2 + [reduced NADPH---hemoprotein reductase] = artemisinate + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R10025]']","['artemisinate [CPD:C20309]', '[oxidized NADPH---hemoprotein reductase] [CPD:C03161]', 'H2O [CPD:C00001]', 'artemisinic alcohol [CPD:C20307]', 'artemisinic aldehyde [CPD:C20308]', 'amorpha-4,11-diene [CPD:C16028]', 'O2 [CPD:C00007]', '[reduced NADPH---hemoprotein reductase] [CPD:C03024]', 'artemisinic alcohol [CPD:C20307]', 'artemisinic aldehyde [CPD:C20308]']"
157,1.14.14.115,"['11-oxo-beta-amyrin + 3 O2 + 3 [reduced NADPH---hemoprotein reductase] = glycyrrhetinate + 3 [oxidized NADPH---hemoprotein reductase] + 4 H2O (overall reaction) [RN:R10316]', '(1a) 11-oxo-beta-amyrin + O2 + [reduced NADPH---hemoprotein reductase] = 30-hydroxy-11-oxo-beta-amyrin + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R10313]', '(1b) 30-hydroxy-11-oxo-beta-amyrin + O2 + [reduced NADPH---hemoprotein reductase] = glycyrrhetaldehyde + [oxidized NADPH---hemoprotein reductase] + 2 H2O [RN:R10314]', '(1c) glycyrrhetaldehyde + O2 + [reduced NADPH---hemoprotein reductase] = glycyrrhetinate + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R10315]']","['glycyrrhetinate [CPD:C02283]', '[oxidized NADPH---hemoprotein reductase] [CPD:C03161]', 'H2O [CPD:C00001]', '30-hydroxy-11-oxo-beta-amyrin [CPD:C20510]', 'glycyrrhetaldehyde [CPD:C20511]', '11-oxo-beta-amyrin [CPD:C19943]', 'O2 [CPD:C00007]', '[reduced NADPH---hemoprotein reductase] [CPD:C03024]', '30-hydroxy-11-oxo-beta-amyrin [CPD:C20510]', 'glycyrrhetaldehyde [CPD:C20511]']"
158,1.14.14.116,"[""(1) (1'S)-averantin + [reduced NADPH---hemoprotein reductase] + O2 = (1'S,5'S)-5'-hydroxyaverantin + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R10317]"", ""(2) (1'S)-averantin + [reduced NADPH---hemoprotein reductase] + O2 = (1'S,5'R)-5'-hydroxyaverantin + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R10318]""]","[""(1'S,5'S)-5'-hydroxyaverantin [CPD:C20500]"", '[oxidized NADPH---hemoprotein reductase] [CPD:C03161]', 'H2O [CPD:C00001]', ""(1'S,5'R)-5'-hydroxyaverantin [CPD:C20501]"", ""(1'S)-averantin [CPD:C20499]"", '[reduced NADPH---hemoprotein reductase] [CPD:C03024]', 'O2 [CPD:C00007]']"
159,1.14.14.117,"['(1) 8-O-methylsterigmatocystin + 2 [reduced NADPH---hemoprotein reductase] + 2 O2 = aflatoxin B1 + 2 [oxidized NADPH---hemoprotein reductase] + H2O + methanol + CO2 [RN:R10319]', '(2) 8-O-methyldihydrosterigmatocystin + 2 [reduced NADPH---hemoprotein reductase] + 2 O2 = aflatoxin B2 + 2 [oxidized NADPH---hemoprotein reductase] + H2O + methanol + CO2 [RN:R10320]']","['aflatoxin B1 [CPD:C06800]', '[oxidized NADPH---hemoprotein reductase] [CPD:C03161]', 'H2O [CPD:C00001]', 'methanol [CPD:C00132]', 'CO2 [CPD:C00011]', 'aflatoxin B2 [CPD:C16753]', '8-O-methylsterigmatocystin [CPD:C03686]', '[reduced NADPH---hemoprotein reductase] [CPD:C03024]', 'O2 [CPD:C00007]', '8-O-methyldihydrosterigmatocystin [CPD:C03944]']"
160,1.14.14.124,"['dihydromonacolin L acid + O2 + [reduced NADPH---hemoprotein reductase] = monacolin L acid + [oxidized NADPH---hemoprotein reductase] + 2 H2O (overall reaction) [RN:R10793]', '(1a) dihydromonacolin L acid + O2 + [reduced NADPH---hemoprotein reductase] = 3alpha-hydroxy-3,5-dihydromonacolin L acid + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R10791]', '(1b) 3alpha-hydroxy-3,5-dihydromonacolin L acid = monacolin L acid + H2O (spontaneous) [RN:R10792]']","['monacolin L acid [CPD:C20853]', '[oxidized NADPH---hemoprotein reductase] [CPD:C03161]', 'H2O [CPD:C00001]', '3alpha-hydroxy-3,5-dihydromonacolin L acid [CPD:C20852]', 'dihydromonacolin L acid [CPD:C20851]', 'O2 [CPD:C00007]', '[reduced NADPH---hemoprotein reductase] [CPD:C03024]', '3alpha-hydroxy-3,5-dihydromonacolin L acid [CPD:C20852]']"
161,1.14.14.126,"['beta-amyrin + 3 O2 + 3 [reduced NADPH---hemoprotein reductase] = oleanolate + 3 [oxidized NADPH---hemoprotein reductase] + 4 H2O (overall reaction) [RN:R10924]', '(1a) beta-amyrin + O2 + [reduced NADPH---hemoprotein reductase] = erythrodiol + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R10921]', '(1b) erythrodiol + O2 + [reduced NADPH---hemoprotein reductase] = oleanolic aldehyde + [oxidized NADPH---hemoprotein reductase] + 2 H2O [RN:R10922]', '(1c) oleanolic aldehyde + O2 + [reduced NADPH---hemoprotein reductase] = oleanolate + [oxidized NADPH---hemoprotein reductase] + H2O [RN:R10923]']","['oleanolate [CPD:C17148]', '[oxidized NADPH---hemoprotein reductase] [CPD:C03161]', 'H2O [CPD:C00001]', 'erythrodiol [CPD:C20945]', 'oleanolic aldehyde [CPD:C20946]', 'beta-amyrin [CPD:C08616]', 'O2 [CPD:C00007]', '[reduced NADPH---hemoprotein reductase] [CPD:C03024]', 'erythrodiol [CPD:C20945]', 'oleanolic aldehyde [CPD:C20946]']"
