,CPD,description
2235,cpd:C02806,8-Hydroxykaempferol
2236,cpd:C02807,"Acenaphthenequinone; Acenaphthoquinone; 1,2-Diketoacenaphthene"
2237,cpd:C02808,Acetylblasticidin S
2238,cpd:C02809,Albendazole S-oxide
2239,cpd:C02810,Alditol 6-phosphate; Hexitol 1-phosphate
2240,cpd:C02811,Anhydrotetracycline
2241,cpd:C02812,Ascorbate 2-sulfate
2242,cpd:C02814,"Benzene-1,2,4-triol; Hydroxyhydroquinone; 1,2,4-Benzenetriol; 1,2,4-Trihydroxybenzene; Hydroxyquinol"
2243,cpd:C02816,Calmodulin L-lysine
2244,cpd:C02817,Chlordecone alcohol
2245,cpd:C02821,Cortisol 21-acetate; Hydrocortisone acetate; Cortell
2246,cpd:C02822,Cortisol 21-sulfate
2247,cpd:C02823,Cyanocobalamin; Cyanocob(III)alamin; Dicopac; Vitamin B12 complex
2248,cpd:C02824,Cyclohexylsulfamate; Cyclohexylsulfamic acid; Cylamic acid; Cyclohexylamide sulfate
2249,cpd:C02825,Cypridina luciferin
2250,cpd:C02827,D-Glucose 6-sulfate
2251,cpd:C02828,D-Phe-Pro-Arg-CH2Cl
2252,cpd:C02834,Heparin-glucosamine
2253,cpd:C02835,Imidazole-4-acetate; Imidazoleacetic acid; 4-Imidazoleacetate
2254,cpd:C02837,"L-Lysine 1,6-lactam; L-2-Aminohexano-6-lactam; L-alpha-Aminocaprolactam; (S)-2-Aminohexano-6-lactam"
2255,cpd:C02838,L-Octanoylcarnitine
2256,cpd:C02839,L-Tyrosyl-tRNA(Tyr)
2257,cpd:C02843,Long-chain acyl-CoA
2258,cpd:C02845,Methyl ethyl ketone; Ethyl methyl ketone; 2-Butanone; Butan-2-one; MEK
2259,cpd:C02846,"N,N-Dimethylaniline; Dimethylaminobenzene; N,N-Dimethylbenzenamine"
2260,cpd:C02847,N-Acetyl amino acid
2261,cpd:C02850,N-Acyl-L-amino acid
2262,cpd:C02851,N-Acyl-L-citrulline
2263,cpd:C02852,N-Ethylglycocyamine
2264,cpd:C02853,N-Formyl amino acid
2265,cpd:C02854,N-Furfurylformamide
2266,cpd:C02855,N-Phospho-D-lombricine
2267,cpd:C02856,N3'-Acetylapramycin
2268,cpd:C02857,N3'-Acetylkanamycin
2269,cpd:C02858,N5-Acyl-L-ornithine
2270,cpd:C02860,N6-Alkylaminopurine
2271,cpd:C02862,O-Butanoylcarnitine
2272,cpd:C02863,3-O-(alpha-D-Mannosyl)-L-serinyl-[protein]; O-D-Mannosylprotein
2273,cpd:C02864,O-Demethylpuromycin
2274,cpd:C02866,O-Sinapoylglucarate
2275,cpd:C02867,Oligoribonucleotide
2276,cpd:C02868,Lecanoric acid; Orsellinate depside
2277,cpd:C02869,Oxidized flavodoxin
2278,cpd:C02871,Peptide L-aspartate
2279,cpd:C02872,Peptide diphthamide; Diphthamide; EF-2 diphthamide; Elongation factor 2 diphthamide
2280,cpd:C02876,Propanoyl phosphate; Propionyl phosphate
2281,cpd:C02879,Protoaphin aglucone; Protoaphin aglycone
2282,cpd:C02880,Protochlorophyllide; Protochlorophyllide a
2283,cpd:C02882,L-Cysteine-S-conjugate; S-Aryl-L-cysteine
2284,cpd:C02884,Ribose triphosphate; D-Ribose 5-triphosphate
2285,cpd:C02885,S-Alkyl thiosulfate
2286,cpd:C02886,S-Hexyl-glutathione; S-Hexyl-L-glutathione
2287,cpd:C02887,Sinapoyl malate; Sinapoyl-(S)-malate
2288,cpd:C02888,Sorbose 1-phosphate; L-Sorbose 1P; L-xylo-Hexulose 1-phosphate; L-Sorbose 1-phosphate
2289,cpd:C02890,Tetrahydropalmatine; (S)-Tetrahydropalmatine
2290,cpd:C02892,Thiamine acetic acid; Thiamin acetic acid
2291,cpd:C02893,Unsaturated alcohol
2292,cpd:C02894,Watasenia luciferin
2293,cpd:C02895,Xylitol 5-phosphate; D-Xylitol 5-phosphate
2294,cpd:C02896,"alpha,omega-Diamine"
2295,cpd:C02897,alpha-D-Arabinoside
2296,cpd:C02899,beta-Cyclopiazonate; beta-Cyclopiazonic acid
2297,cpd:C02900,beta-D-Galactosyl-R
2298,cpd:C02903,omega-Aminoaldehyde
2299,cpd:C02904,"p-Menthane-3,8-diol; (-)-3,8-p-Menthanediol"
2300,cpd:C02905,tRNA(Asp)-queuosine
2301,cpd:C02906,Dihydromyricetin; Ampelopsin; (+)-Dihydromyricetin; (+)-Ampelopsin
2302,cpd:C02909,(2-Naphthyl)methanol; 2-Naphthalenemethanol; 2-Hydroxymethylnaphthalene
2303,cpd:C02912,"(R)-Propane-1,2-diol; (R)-1,2-Propanediol; (R)-Propylene glycol"
2304,cpd:C02914,(S)-2-O-Sulfolactate
2305,cpd:C02915,(S)-N-Methylcanadine
2306,cpd:C02916,(S)-Norlaudanosoline; (S)-Tetrahydropapaveroline
2307,cpd:C02917,"(S)-Propane-1,2-diol; (S)-1,2-Propanediol; (S)-Propylene glycol"
2308,cpd:C02918,1-Methylnicotinamide; N(1)-Methylnicotinamide
2309,cpd:C02919,4-O-beta-D-Glucosyl-sinapate
2310,cpd:C02920,2'-Hydroxyformononetin; 2'-Hydroformononetin
2311,cpd:C02921,2'-Hydroxyisoflavone
2312,cpd:C02922,2'-O-Methyllicodione
2313,cpd:C02923,"2,3-Dihydroxytoluene; 3-Methylcatechol"
2314,cpd:C02924,"Dimercaprol; 2,3-Mercaptopropanol; 2,3-Dimercapto-1-propanol; British anti-lewisite"
2315,cpd:C02926,Homoserine lactone; 2-Aminobutan-4-olide
2316,cpd:C02927,2-Caffeoylisocitrate; (E)-Caffeoylisocitrate
2317,cpd:C02928,2-Dehydro-D-xylonate
2318,cpd:C02929,2-Hydroxy carboxylate
2319,cpd:C02930,2-Methyleneglutarate; alpha-Methylene glutarate
2320,cpd:C02932,"3,4-Dihydroxypyridine"
2321,cpd:C02933,"3,5-Dichlorocatechol"
2322,cpd:C02934,3-Dehydrosphinganine; 3-Dehydro-D-sphinganine
2323,cpd:C02937,Indole-3-acetaldehyde oxime; Indole-3-acetaldoxime; 3-Indoleacetaldoxime; (E)-Indol-3-ylacetaldoxime
2324,cpd:C02938,3-Indoleacetonitrile; Indol-3-ylacetonitrile; Indole-3-acetonitrile; (Indol-3-yl)acetonitrile
2325,cpd:C02939,3-Methylbutanoyl-CoA; Isovaleryl-CoA
2326,cpd:C02940,3-Oxo-5alpha-steroid
2327,cpd:C02941,3-Oxo-Delta1-steroid
2328,cpd:C02942,3-Oxo-hydroxysteroid
2329,cpd:C02943,3-Oxoglycyrrhetinate
2330,cpd:C02944,3-cis-Dodecenoyl-CoA; 3-cis-Dodecenoyl coenzyme A; (3Z)-Dodecenoyl-CoA; (3Z)-Dodec-3-enoyl-CoA
2331,cpd:C02945,3beta-Hydroxysteroid
2332,cpd:C02946,4-Acetamidobutanoate; N4-Acetylaminobutanoate
2333,cpd:C02947,4-Coumaroylshikimate; trans-5-O-(4-Coumaroyl)shikimate
2334,cpd:C02948,4-Hydroxyhexan-3-one; 4-Hydroxy-3-hexanone; Propioin
2335,cpd:C02949,4-Hydroxybenzoyl-CoA
2336,cpd:C02951,5-Hydroxyxanthotoxin
2337,cpd:C02952,"5-Oxo-1,2-campholide; (+)-5-Oxo-1,2-campholide"
2338,cpd:C02953,"7,8-Dihydrobiopterin; L-erythro-7,8-Dihydrobiopterin"
2339,cpd:C02954,6-Aminopenicillanate; 6-Aminopenicillanic acid
2340,cpd:C02956,7beta-Hydroxysteroid
2341,cpd:C02957,8-Oxodeoxycoformycin
2342,cpd:C02960,Ceramide 1-phosphate; Ceramide phosphate
2343,cpd:C02961,Cytarabine; Cytosine arabinoside; Cytosine-1-beta-D-arabinofuranoside; Ara-C
2344,cpd:C02962,D-Allose 6-phosphate
2345,cpd:C02964,4-O-beta-D-Glucopyranosyl-D-mannose
2346,cpd:C02965,D-Hexose 6-phosphate
2347,cpd:C02967,DNA 5-methylcytosine; DNA containing 5-methylcytosine; 5-Methylcytosine (in DNA)
2348,cpd:C02970,"Decaprenol phosphate; mono-trans, poly-cis-Decaprenyl phosphate; trans,octacis-Decaprenyl phosphate"
2349,cpd:C02972,Dihydrolipoylprotein; [H Protein]-dihydrolipoyllysine
2350,cpd:C02975,Ethyl 3-oxohexanoate; Ethyl butyrylacetate
2351,cpd:C02977,GDP-6-deoxy-D-talose; GDP-6-deoxy-alpha-D-talose
2352,cpd:C02979,Glycerol 2-phosphate; beta-Glycerophosphoric acid
2353,cpd:C02980,Hydroxyanthraquinone; 1-Hydroxyanthraquinone
2354,cpd:C02982,L-2-Hydroxyphytanate
2355,cpd:C02983,Abrine; L-Abrine; N-Methyl-L-tryptophane
2356,cpd:C02984,L-Aspartyl-tRNA(Asp)
2357,cpd:C02985,L-Fucose 1-phosphate; 6-Deoxy-L-galactose 1-phosphate; beta-L-Fucose 1-phosphate
2358,cpd:C02986,L-Glutaminyl-peptide; L-Glutaminyl-protein; N-Terminal L-glutaminyl-[protein]
2359,cpd:C02987,L-Glutamyl-tRNA(Glu)
2360,cpd:C02988,L-Histidyl-tRNA(His)
2361,cpd:C02989,L-Methionine S-oxide
2362,cpd:C02990,L-Palmitoylcarnitine
2363,cpd:C02991,"L-Rhamnono-1,4-lactone; L-Rhamno-1,4-lactone"
2364,cpd:C02992,L-Threonyl-tRNA(Thr)
2365,cpd:C02993,Kyotorphin; L-Tyrosyl-L-arginine
2366,cpd:C02994,"L-Xylono-1,4-lactone"
2367,cpd:C02995,Maltose 6'-phosphate
2368,cpd:C02996,Meclofenamate sodium; Meclofenamic acid sodium salt
2369,cpd:C02997,N-Acetyl-L-histidine
2370,cpd:C02998,N-Acetylarylalkylamine; N-Acetylaralkylamine
2371,cpd:C02999,N-Acetylmuramoyl-Ala; N-Acetyl-D-muramoyl-L-alanine
2372,cpd:C03000,N-Acyl-D-glucosamine
2373,cpd:C03001,N-Benzoyl-D-arginine
2374,cpd:C03002,N-Caffeoylputrescine
2375,cpd:C03003,N-Glucosylnicotinate
2376,cpd:C03004,N-Hydroxy-L-tyrosine
2377,cpd:C03005,N-Methylanthranilate; N-Methylanthranilic acid; 2-(Methylamino)benzoic acid
2378,cpd:C03007,1-(1-Oxopropyl)-1H-imidazole; N-Propanoylimidazole; N-Propionylimidazole
2379,cpd:C03010,N3'-Acetyltobramycin
2380,cpd:C03011,Nalpha-Acetylpeptide
2381,cpd:C03012,"Naphthalene-1,2-diol; 1,2-Naphthalenediol; beta-Naphthohydroquinone; 1,2-Dihydroxynaphthalene"
2382,cpd:C03015,O-Carbamoyl-L-serine
2383,cpd:C03016,O-Phosphotropomyosin; Tropomyosin phosphoserine; Phosphorylated tropomyosin
2384,cpd:C03017,O-Propanoylcarnitine; O-Propionylcarnitine
2385,cpd:C03018,Oligoglycosylglucose
2386,cpd:C03019,Phorbol 13-butanoate
2387,cpd:C03021,Protein asparagine; Protein L-asparagine
2388,cpd:C03022,Protein L-citrulline
2389,cpd:C03023,Peptide-L-methionine
2390,cpd:C03024,[Reduced NADPH---hemoprotein reductase]; Reduced flavoprotein
2391,cpd:C03025,Reduced plastocyanin
2392,cpd:C03027,Testosterone acetate
2393,cpd:C03028,Thiamin triphosphate; Thiamine triphosphate
2394,cpd:C03029,Transferrin[Fe(II)]2
2395,cpd:C03030,Uracil 5-carboxylate; Uracil 5-carboxylic acid; 5-Carboxyuracil
2396,cpd:C03031,Uridine 2'-phosphate
2397,cpd:C03032,Cyclopiazonic acid; alpha-Cyclopiazonate; alpha-Cyclopiazonic acid; CPA
2398,cpd:C03033,beta-D-Glucuronoside; O-beta-D-Glucuronoside; Glucuronide; beta-D-Glucuronide
2399,cpd:C03034,dTDP-D-galacturonate
2400,cpd:C03035,gamma-Linolenoyl-CoA
2401,cpd:C03036,(+)-Bisdechlorogeodin
2402,cpd:C03037,"(+)-Bornane-2,5-dione; 2,5-Diketocamphane"
2403,cpd:C03039,(+)-trans-Piperitenol
2404,cpd:C03040,(-)-Bisdechlorogeodin
2405,cpd:C03042,(R)-2-Hydroxystearate
2406,cpd:C03043,(R)-6-Hydroxynicotine
2407,cpd:C03044,"(R,R)-Butane-2,3-diol; (R,R)-2,3-Butanediol; (R,R)-2,3-Butylene glycol"
2408,cpd:C03045,(S)-2-Hydroxystearate
2409,cpd:C03046,"(S,S)-Butane-2,3-diol; (S,S)-2,3-Butanediol; (S,S)-2,3-Butylene glycol; (2S,3S)-Butane-2,3-diol"
2410,cpd:C03047,"Arcaine; 1,4-Diguanidinobutane"
2411,cpd:C03049,13-Hydroxydocosanoic acid; 13-Hydroxydocosanoate
2412,cpd:C03050,16beta-Hydroxysteroid
2413,cpd:C03051,17beta-Hydroxysteroid
2414,cpd:C03052,"2,3-Dihydrogossypetin"
2415,cpd:C03056,"2,6-Dihydroxypyridine"
2416,cpd:C03057,2-Carboxybenzaldehyde; Phthalaldehydic acid; o-Formylbenzoic acid; 2-Formylbenzoic acid; 2-Formylbenzoate
2417,cpd:C03058,2-Hydroxyglutaryl-CoA
2418,cpd:C03059,2-Hydroxymethylserine
2419,cpd:C03062,2-O-Caffeoylglucarate
2420,cpd:C03063,"2-Oxohept-3-enedioate; 2-Oxohept-3-ene-1,7-dioate"
2421,cpd:C03064,3-Dehydro-L-threonate; 3-Dehydro-D-erythronate
2422,cpd:C03065,3-Guanidinopropanoate; Guanidinopropionic acid
2423,cpd:C03066,3-Hydroxy-L-glutamate; 3-Hydroxy-L-glutamic acid
2424,cpd:C03067,3-Hydroxybenzaldehyde
2425,cpd:C03068,3-Hydroxyhexobarbital
2426,cpd:C03069,3-Methylcrotonyl-CoA; 3-Methylbut-2-enoyl-CoA; 3-Methylcrotonoyl-CoA; Dimethylacryloyl-CoA
2427,cpd:C03070,3-Oxo-5beta-cholanate; 3-Oxo-5beta-cholan-24-oate
2428,cpd:C03071,3-aci-Nitropropanoate; 3-aci-Nitropropionic acid
2429,cpd:C03072,3alpha-Hydroxysteroid
2430,cpd:C03074,4'-O-Methylisoflavone
2431,cpd:C03076,4-Bromophenylacetate; 4-Bromophenylacetic acid
2432,cpd:C03077,4-Chlorophenylacetate; 4-Chlorophenylacetic acid
2433,cpd:C03078,4-Guanidinobutanamide
2434,cpd:C03079,4-Hydroxy-L-glutamate; 4-Hydroxy-L-glutamic acid
2435,cpd:C03080,4-Hydroxyhydratropate
2436,cpd:C03081,4-Methylumbelliferone; Hymecromone
2437,cpd:C03082,4-Phospho-L-aspartate; L-4-Aspartyl phosphate
2438,cpd:C03083,4-Substituted anilide
2439,cpd:C03084,4-Substituted aniline
2440,cpd:C03085,5'-Acylphosphoinosine
2441,cpd:C03086,5'-Acylphosphouridine
2442,cpd:C03087,5-Acetamidopentanoate
2443,cpd:C03088,5-Hydroxymethyluracil
2444,cpd:C03089,5-Methylthio-D-ribose; S-Methyl-5-thio-D-ribose
2445,cpd:C03090,5-Phosphoribosylamine; 5-Phospho-beta-D-ribosylamine; 5-Phospho-D-ribosylamine; 5-Phosphoribosyl-1-amine
2446,cpd:C03091,5beta-Cholestan-3-one; Coprostan-3-one
2447,cpd:C03092,"6-endo-Hydroxycineole; 2-endo-Hydroxy-1,8-cineole; (1R,4S,6R)-1,3,3-Trimethyl-2-oxabicyclo[2.2.2]octan-6-ol"
2448,cpd:C03093,"7,8-Dihydroxycoumarin; Daphnetin"
2449,cpd:C03095,N-Aminoacyl-L-histidine
2450,cpd:C03097,Aryl beta-D-glucoside
2451,cpd:C03098,Benzyl isothiocyanate
2452,cpd:C03103,Cyclobutadipyrimidine; Cyclobutadipyrimidine (in DNA)
2453,cpd:C03104,Cytidine 2'-phosphate; 2'-Cytidylic acid; Cytidine 2'-monophosphate
2454,cpd:C03105,Cytochrome c L-lysine
2455,cpd:C03106,D-Galactosaminoglycan
2456,cpd:C03107,"D-Glucono-1,4-lactone"
2457,cpd:C03108,D-Glucosylsphingosine
2458,cpd:C03109,D-Threose 4-phosphate
2459,cpd:C03110,DNA N4-methylcytosine
2460,cpd:C03112,Deacetylcephalosporin C
2461,cpd:C03113,Diisopropyl phosphate
2462,cpd:C03114,"Dimethylbenzimidazole; 5,6-Dimethylbenzimidazole"
2463,cpd:C03115,Farnesyl triphosphate
2464,cpd:C03117,GDP-6-deoxy-D-mannose; GDP-D-rhamnose; GDP-6-deoxy-alpha-D-mannose; GDP-alpha-D-rhamnose
2465,cpd:C03120,Glycerophosphodiester
2466,cpd:C03121,Glycoprotein inositol
2467,cpd:C03122,Haloaromatic compound
2468,cpd:C03124,beta-L-Aspartylhydroxamate
2469,cpd:C03125,L-Cysteinyl-tRNA(Cys)
2470,cpd:C03126,L-Iduronate 2-sulfate
2471,cpd:C03127,L-Isoleucyl-tRNA(Ile)
2472,cpd:C03129,Long-chain acid anion
2473,cpd:C03130,Lower primary alcohol
2474,cpd:C03134,"N,N-Dimethylformamide; N,N-Dimethylmethanamide; DMF"
2475,cpd:C03135,N-Acetyl-D-amino acid
2476,cpd:C03136,N-Acetyl-D-hexosamine
2477,cpd:C03137,N-Acetyl-D-tryptophan
2478,cpd:C03139,N-Amidino-L-aspartate; N-Amidino-L-aspartic acid; Guanidinosuccinic acid
2479,cpd:C03140,N-Amidino-L-glutamate
2480,cpd:C03141,N-Benzoylanthranilate; 2-Benzoylaminobenzoic acid
2481,cpd:C03142,N-D-Glucosylarylamine
2482,cpd:C03145,N-Formylmethionine; N-Formyl-L-methionine
2483,cpd:C03146,N-Glycolyl-D-glucosamine
2484,cpd:C03147,N-Malonylanthranilate
2485,cpd:C03148,N-Methyl-L-amino acid
2486,cpd:C03149,N-Phosphotaurocyamine; Taurocyamine phosphate; N(omega)-Phosphotaurocyamine
2487,cpd:C03150,Nicotinamide-beta-riboside; N-Ribosylnicotinamide; 1-(beta-D-Ribofuranosyl)nicotinamide
2488,cpd:C03151,N2-Acylated Arg-CH2Cl
2489,cpd:C03152,N2-Acylated Lys-CH2Cl
2490,cpd:C03153,N5-Methyl-L-glutamine
2491,cpd:C03154,N6'-Acetylkanamycin-B
2492,cpd:C03156,O-Feruloylgalactarate; O-Feruloylgalactaric acid; 2'-(E)-O-Feruloylgalactaric acid
2493,cpd:C03157,O-Phospho-tau-protein
2494,cpd:C03160,2-Succinylbenzoyl-CoA; o-Succinylbenzoyl-CoA; Succinylbenzoyl-CoA; 4-(2-Carboxyphenyl)-4-oxobutanoyl-CoA
2495,cpd:C03161,[Oxidized NADPH---hemoprotein reductase]; Oxidized flavoprotein
2496,cpd:C03162,Oxidized plastocyanin
2497,cpd:C03164,"Phenanthrene-3,4-diol; 3,4-Dihydroxyphenanthrene"
2498,cpd:C03166,Phosphoguanidinoacetate; Guanidinoacetate phosphate
2499,cpd:C03167,Phosphonoacetaldehyde; 2-Phosphonoacetaldehyde; 2-Oxoethylphosphonate
2500,cpd:C03168,Poly(D-galactosamine)
2501,cpd:C03169,Pyrimidine nucleoside; N-D-Ribosylpyrimidine
2502,cpd:C03170,Trypanothione disulfide; Oxidized trypanothione
2503,cpd:C03172,S-Methyl-L-methionine
2504,cpd:C03173,S-Methylthioglycolate; (Methylsulfanyl)acetic acid; (Methylthio)acetic acid; (Methylsulfanyl)acetate
2505,cpd:C03174,S-Succinylglutathione
2506,cpd:C03175,Shikimate 3-phosphate; Shikimate 5-phosphate
2507,cpd:C03176,Steroid hydroperoxide
2508,cpd:C03177,Streptamine phosphate
2509,cpd:C03178,Tetrahydroxypteridine
2510,cpd:C03179,Transferrin[Fe(III)]2
2511,cpd:C03183,Z-Gly-Pro-Leu-Gly-Pro; Carbobenzoxyglycyl-prolyl-leucyl-glycyl-proline; N-[(Phenylmethoxy)carbonyl]glycyl-L-prolyl-L-leucylglycyl-L-proline
2512,cpd:C03184,Zinc protoporphyrin-9; Zinc protoporphyrin
2513,cpd:C03185,[Glycogen-synthase D]
2514,cpd:C03186,[Glycogen-synthase I]
2515,cpd:C03187,dTDP-6-deoxy-beta-L-talose; dTDP-beta-L-pneumose
2516,cpd:C03188,omega-Carboxyacyl-CoA
2517,cpd:C03189,DL-Glycerol 1-phosphate; Glycerol 1-phosphate; Glycerol-3-phosphate; rac-Glycerol 1-phosphate; DL-Glyceryl 1-phosphate; DL-Glycerol 3-phosphate
2518,cpd:C03190,(+)-Bornyl diphosphate
2519,cpd:C03193,(5-L-Glutamyl)-peptide
2520,cpd:C03194,(R)-1-Aminopropan-2-ol; (R)-1-Amino-2-propanol
2521,cpd:C03195,(R)-10-Hydroxystearate
2522,cpd:C03196,(S)-2-Hydroxyglutarate
2523,cpd:C03197,(S)-3-Hydroxybutanoate
2524,cpd:C03198,(S)-4-Hydroxymandelate; (S)-2-Hydroxy-2-(4-hydroxyphenyl)acetate; L-4-Hydroxymandelate; L-p-Hydroxymandelate
2525,cpd:C03199,"1,2-Didecanoylglycerol; 1,2-Didecanoyl-sn-glycerol"
2526,cpd:C03200,"1,3-beta-D-Oligoglucan"
2527,cpd:C03201,1-Alkyl-2-acylglycerol; 2-Acyl-1-alkyl-sn-glycerol
2528,cpd:C03203,1-Hydroxy-2-naphthoate; 1-Hydroxy-2-naphthoic acid; 1-Naphthol-2-carboxylic acid
2529,cpd:C03204,10-Formyldihydrofolate
2530,cpd:C03205,"11-Deoxycorticosterone; Deoxycorticosterone; Cortexone; 21-Hydroxy-4-pregnene-3,20-dione; Desoxycortone; DOC"
2531,cpd:C03206,"5a,11a-Dehydrotetracycline; 12-Dehydrotetracycline"
2532,cpd:C03207,"16-Dehydroprogesterone; 16,17-Didehydroprogesterone"
2533,cpd:C03209,"2,2'-Dihydroxybiphenyl"
2534,cpd:C03210,"Alanopine; 2,2'-Iminodipropanoate; meso-N-(1-Carboxyethyl)-alanine"
2535,cpd:C03212,"2,4-Dihydroxypteridine; Lumazine; Pteridine-2,4-dione; 2,4(3H,8H)-Pteridinedione"
2536,cpd:C03214,2-Amino-3-oxobutanoate; 2-Amino-acetoacetate
2537,cpd:C03215,2-Carboxy-D-arabinitol
2538,cpd:C03217,2-Hydroxy-3-oxoadipate
2539,cpd:C03218,2-Methylaminoadenosine
2540,cpd:C03219,(E)-2-Methylpropanal oxime; (E)-Isobutyraldehyde oxime; (E)-Isobutanal oxime
2541,cpd:C03220,"(2Z,6E)-Farnesol; 2-cis,6-trans-Farnesol"
2542,cpd:C03221,2-trans-Dodecenoyl-CoA; (2E)-Dodec-2-enoyl-CoA; (2E)-Dodecenoyl-CoA
2543,cpd:C03223,"3,4-Dihydroxyphthalate; 3,4-Dihydroxyphthalic acid"
2544,cpd:C03224,"3,5-Dibromo-L-tyrosine"
2545,cpd:C03225,"3,5-Dinitro-L-tyrosine"
2546,cpd:C03226,3-Demethylubiquinone-9
2547,cpd:C03227,3-Hydroxy-L-kynurenine
2548,cpd:C03228,3-Hydroxycyclohexanone
2549,cpd:C03230,(Indol-3-yl)glycolaldehyde; 3-Indoleglycolaldehyde
2550,cpd:C03231,3-Methylglutaconyl-CoA; trans-3-Methylglutaconyl-CoA; (E)-3-Methylglutaconyl-1-CoA
2551,cpd:C03232,3-Phosphonooxypyruvate; 3-Phosphonooxypyruvic acid; 3-Phosphohydroxypyruvate; 3-Phosphohydroxypyruvic acid; 3-Phosphooxypyruvate
2552,cpd:C03233,"4,5-Dihydroxyphthalate; 4,5-Dihydroxyphthalic acid"
2553,cpd:C03235,4-Hydroxypheoxyacetate
2554,cpd:C03236,5'-Phosphodinucleotide
2555,cpd:C03237,5-Hydroxypentanoyl-CoA
2556,cpd:C03238,5alpha-Cholestan-3-one
2557,cpd:C03239,6-Amino-2-oxohexanoate; 2-Oxo-6-aminocaproate
2558,cpd:C03240,6-Deoxyerythronolide B
2559,cpd:C03241,6-Hydroxyhexan-6-olide; 6-Hydroxy-6-hexanolactone
2560,cpd:C03242,"Dihomo-gamma-linolenate; Dihomo-gamma-linolenic acid; (8Z,11Z,14Z)-Icosatrienoic acid; (Z,Z,Z)-8,11,14-Eicosatrienoic acid; (Z,Z,Z)-8,11,14-Icosatrienoic acid; (Z,Z,Z)-8,11,14-Eicosatrienoate; (Z,Z,Z)-8,11,14-Icosatrienoate; 8,11,14-Eicosatrienoate; 8,11,14-Icosatrienoate; 8Z,11Z,14Z-Eicosatrienoic acid; (8Z,11Z,14Z)-Icosa-8,11,14-trienoic acid"
2561,cpd:C03243,"9,10-Phenanthroquinone; 9,10-Phenanthrenedione; Phenanthraquinone; Phenanthrenequinone"
2562,cpd:C03245,ADP-D-ribosyl-acceptor; (ADP-D-ribosyl)n-acceptor; (ADP-D-ribosyl)n+1-acceptor
2563,cpd:C03246,ADPribose 2'-phosphate
2564,cpd:C03248,Acetylenedicarboxylate; Acetylenedicarboxylic acid; 2-Butynedioic acid
2565,cpd:C03251,Aldohexose 6-phosphate
2566,cpd:C03254,Aryl dialkyl phosphate
2567,cpd:C03256,Cetraxate benzyl ester
2568,cpd:C03263,Coproporphyrinogen III
2569,cpd:C03264,(R)-2-Hydroxyisocaproate; D-2-Hydroxyisocaproate; (R)-2-Hydroxy-4-methylpentanoate; D-Leucate
2570,cpd:C03267,beta-D-Fructose 2-phosphate; beta-D-Fructofuranose 2-phosphate
2571,cpd:C03268,D-Mannosylglycoprotein; Glycoprotein D-mannose
2572,cpd:C03269,D-galacto-Hexodialdose
2573,cpd:C03272,"Globoside; Globoside I; N-Acetyl-galactosaminyl-1,3-D-galactosyl-1,4-D-galactosyl-1,4-D-glucosylceramide; N-Acetyl-D-galactosaminyl-1,3-D-galactosyl-1,4-D-galactosyl-1,4-D-glucosylceramide"
2574,cpd:C03273,5-Oxopentanoate; Glutarate semialdehyde
2575,cpd:C03274,Glycerophosphoglycerol
2576,cpd:C03277,Imidazol-5-yl-pyruvate; 3-(Imidazol-5-yl)pyruvate; Imidazole pyruvate; Imidazole pyruvic acid
2577,cpd:C03280,Inosine-5'-carboxylate
2578,cpd:C03281,Kanamycin A 3'-phosphate; Kanamycin 3'-phosphate
2579,cpd:C03283,"L-2,4-Diaminobutanoate; alpha,gamma-Diaminobutyrate; L-2,4-Diaminobutyrate"
2580,cpd:C03284,L-3-Aminoisobutanoate; (S)-3-Aminoisobutyrate; L-3-Aminoisobutyrate; (S)-3-Aminoisobutanoate; (S)-3-Amino-2-methylpropanoate; (S)-beta-Aminoisobutyrate
2581,cpd:C03287,L-Glutamyl 5-phosphate; L-Glutamate 5-phosphate
2582,cpd:C03289,"L-xylo-Hexulonolactone; L-xylo-Hex-2-ulono-1,4-lactone"
2583,cpd:C03290,L-threo-3-Phenylserine
2584,cpd:C03291,L-Xylulose 5-phosphate
2585,cpd:C03292,Mercaptoacetyl-Phe-Leu
2586,cpd:C03294,N-Formylmethionyl-tRNA
2587,cpd:C03296,N2-Succinyl-L-arginine; (2S)-2-(3-Carboxypropanoylamino)-5-(diaminomethylideneamino)pentanoic acid
2588,cpd:C03297,N3-Acetylgentamicin C; 3-N-Acetylgentamicin C; N3'-Acetylgentamicin C
2589,cpd:C03298,Nalpha-Methylhistidine; N-Methyl-L-histidine
2590,cpd:C03299,O-Decanoyl-L-carnitine
2591,cpd:C03300,O-beta-D-Xylosylzeatin; O-beta-D-Xyloxylzeatin
2592,cpd:C03302,Oxidized putidaredoxin
2593,cpd:C03303,Peptidylamidoglycolate; Peptidyl(2-hydroxyglycine)
2594,cpd:C03305,Prolyl-2-naphthylamide
2595,cpd:C03306,Protein L-isoaspartate
2596,cpd:C03309,Strictosidine aglycone
2597,cpd:C03311,Thien-2-ylacetonitrile
2598,cpd:C03312,Urate D-ribonucleotide
2599,cpd:C03313,Phylloquinol; Vitamin K1 hydroquinone; Phytonadiol
2600,cpd:C03314,Xanthine-8-carboxylate
2601,cpd:C03315,[Dinitrogen reductase]; [Dinitrogen reductase]-L-arginine
2602,cpd:C03317,alpha-Amino acid ester
2603,cpd:C03318,[alpha-Tubulin]-L-lysine
