entry,product,reacts,PubChem,SMILES,Mol,Fingerprint,dist,enzyme_class_1,enzyme_class_2,enzyme_class_3,enzyme_class_4,enzyme_class_5,enzyme_class_6,enzyme_class_7,n_C,n_H,n_O,n_N,n_P,n_S,n_X,DoU,MW
2.3.1.224,C02394,1.0,5428,C1=CC=C(C=C1)/C=C/CO,<rdkit.Chem.rdchem.Mol object at 0x10ef7bcb0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef7b9e0>,0.4627901323572908,0,1,0,0,0,0,0,9.0,10.0,1.0,0.0,0.0,0.0,0.0,5.0,134.17799999999997
6.2.1.7,C01794,1.0,4921,C[C@H](CCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O)[C@H]4CC[C@@H]5[C@@]4([C@H](C[C@H]6[C@H]5[C@@H](C[C@H]7[C@@]6(CC[C@H](C7)O)C)O)O)C,<rdkit.Chem.rdchem.Mol object at 0x10ef7bd50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef7ba80>,0.35826771653543305,0,0,0,0,0,1,0,45.0,74.0,20.0,7.0,3.0,1.0,0.0,14.0,1158.105
2.1.1.240,C03582,1.0,6374,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x10ef7bdf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef7bb20>,0.8284313725490197,0,1,0,0,0,0,0,14.0,12.0,3.0,0.0,0.0,0.0,0.0,9.0,228.24699999999999
2.1.1.240,C10287,1.0,12473,COC1=CC(=CC(=C1)/C=C/C2=CC=C(C=C2)O)OC,<rdkit.Chem.rdchem.Mol object at 0x10ef7be90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef7bbc0>,0.8284313725490197,0,1,0,0,0,0,0,16.0,16.0,3.0,0.0,0.0,0.0,0.0,9.0,256.301
4.2.1.105,C15567,1.0,17396559,C1=CC(=CC=C1C2C(OC3=C(C2=O)C=CC(=C3)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x10ef7bf30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef7bc60>,0.5314856345902323,0,0,0,1,0,0,0,15.0,12.0,5.0,0.0,0.0,0.0,0.0,10.0,272.256
1.14.14.87,C15567,1.0,17396559,C1=CC(=CC=C1C2C(OC3=C(C2=O)C=CC(=C3)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x10ef7be40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef7bf80>,0.6797539726335601,1,0,0,0,0,0,0,15.0,12.0,5.0,0.0,0.0,0.0,0.0,10.0,272.256
4.2.1.105,C10208,1.0,12394,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,<rdkit.Chem.rdchem.Mol object at 0x10ef7bee0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef7a0d0>,0.5314856345902323,0,0,0,1,0,0,0,15.0,10.0,4.0,0.0,0.0,0.0,0.0,11.0,254.24099999999999
4.2.1.105,C06563,1.0,8792,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x10ef7bd00>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef7a030>,0.5314856345902323,0,0,0,1,0,0,0,15.0,10.0,5.0,0.0,0.0,0.0,0.0,11.0,270.23999999999995
4.2.1.105,C12631,1.0,583021,C1=CC(=CC=C1C2C(OC3=CC(=CC(=C3C2=O)O)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x10ef7bda0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef7a080>,0.5314856345902323,0,0,0,1,0,0,0,15.0,12.0,6.0,0.0,0.0,0.0,0.0,10.0,288.25499999999994
1.14.14.87,C12631,1.0,583021,C1=CC(=CC=C1C2C(OC3=CC(=CC(=C3C2=O)O)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x10ef7a2b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef7a170>,0.6797539726335601,1,0,0,0,0,0,0,15.0,12.0,6.0,0.0,0.0,0.0,0.0,10.0,288.25499999999994
1.14.13.181,C01907,1.0,5016,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)C)O)N)O,<rdkit.Chem.rdchem.Mol object at 0x10ef7a350>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef7a210>,0.9591289677549802,1,0,0,0,0,0,0,27.0,29.0,10.0,1.0,0.0,0.0,0.0,14.0,527.5260000000003
1.14.13.181,C12430,1.0,582820,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(C)O)O)N)O,<rdkit.Chem.rdchem.Mol object at 0x10ef7a3f0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef7a120>,0.9591289677549802,1,0,0,0,0,0,0,27.0,31.0,10.0,1.0,0.0,0.0,0.0,13.0,529.5420000000003
1.14.13.181,C12429,1.0,582819,CC[C@]1(C[C@@H](C2=C(C3=C(C(=C2C1)O)C(=O)C4=C(C3=O)C(=CC=C4)OC)O)O[C@H]5C[C@@H]([C@@H]([C@@H](O5)C)O)N)O,<rdkit.Chem.rdchem.Mol object at 0x10ef7a490>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef7a1c0>,0.9591289677549802,1,0,0,0,0,0,0,27.0,31.0,9.0,1.0,0.0,0.0,0.0,13.0,513.5430000000002
2.1.1.332,C21428,1.0,329728051,CCCC1=C(C2=NC1=CC3=C(C4=C([N-]3)C(=C5[C@H]([C@@H](C(=N5)C=C6C(=C(C(=C2)[N-]6)C=C)C)C)CCC(=O)O)CC4=O)CC)C.[Mg+2],<rdkit.Chem.rdchem.Mol object at 0x10ef7a530>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef7a260>,0.986623565414878,0,1,0,0,0,0,0,35.0,36.0,3.0,4.0,0.0,0.0,0.0,20.0,585.0030000000002
2.1.1.332,C21429,1.0,329728052,CCC1=C2C=C3C(=C(C(=N3)C=C4C(=C(C(=CC5=NC(=C6CC(=O)C1=C6[N-]2)[C@H]([C@@H]5C)CCC(=O)O)[N-]4)C)C=C)C)CC(C)C.[Mg+2],<rdkit.Chem.rdchem.Mol object at 0x10ef7a5d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef7a300>,0.986623565414878,0,1,0,0,0,0,0,36.0,38.0,3.0,4.0,0.0,0.0,0.0,20.0,599.0300000000002
2.1.1.332,C21427,1.0,329728050,CCC1=C(C2=NC1=CC3=C(C4=C([N-]3)C(=C5[C@H]([C@@H](C(=N5)C=C6C(=C(C(=C2)[N-]6)C=C)C)C)CCC(=O)O)CC4=O)CC)C.[Mg+2],<rdkit.Chem.rdchem.Mol object at 0x10ef7a670>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef7a3a0>,0.986623565414878,0,1,0,0,0,0,0,34.0,34.0,3.0,4.0,0.0,0.0,0.0,20.0,570.9760000000002
3.5.4.5,C00526,1.0,3809,C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)CO)O,<rdkit.Chem.rdchem.Mol object at 0x10ef7a710>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef7a440>,0.786089740248248,0,0,1,0,0,0,0,9.0,12.0,5.0,2.0,0.0,0.0,0.0,5.0,228.20399999999998
2.4.2.2,C00526,1.0,3809,C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)CO)O,<rdkit.Chem.rdchem.Mol object at 0x10ef7a7b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef7a4e0>,0.4460313766621103,0,1,0,0,0,0,0,9.0,12.0,5.0,2.0,0.0,0.0,0.0,5.0,228.20399999999998
3.5.4.5,C00475,1.0,3758,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,<rdkit.Chem.rdchem.Mol object at 0x10ef7a850>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef7a580>,0.786089740248248,0,0,1,0,0,0,0,9.0,13.0,5.0,3.0,0.0,0.0,0.0,5.0,243.21900000000002
3.1.3.91,C00475,1.0,3758,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,<rdkit.Chem.rdchem.Mol object at 0x10ef7a8f0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef7a620>,0.6835533648487644,0,0,1,0,0,0,0,9.0,13.0,5.0,3.0,0.0,0.0,0.0,5.0,243.21900000000002
3.5.4.5,C00881,1.0,4137,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O,<rdkit.Chem.rdchem.Mol object at 0x10ef7a990>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef7a6c0>,0.786089740248248,0,0,1,0,0,0,0,9.0,13.0,4.0,3.0,0.0,0.0,0.0,5.0,227.21999999999997
3.5.4.5,C00299,1.0,3593,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,<rdkit.Chem.rdchem.Mol object at 0x10ef7aa30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef7a760>,0.786089740248248,0,0,1,0,0,0,0,9.0,12.0,6.0,2.0,0.0,0.0,0.0,5.0,244.203
2.4.2.2,C00299,1.0,3593,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,<rdkit.Chem.rdchem.Mol object at 0x10ef7aad0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef7a800>,0.4460313766621103,0,1,0,0,0,0,0,9.0,12.0,6.0,2.0,0.0,0.0,0.0,5.0,244.203
1.21.1.1,C00708,1.0,3975,[I-],<rdkit.Chem.rdchem.Mol object at 0x10ef7ab70>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef7a8a0>,0.4009424209830908,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,126.904
1.14.14.21,C21150,1.0,313046630,C1=CC=C2C(=C1)C3=CC=CC=C3S2(=O)=O,<rdkit.Chem.rdchem.Mol object at 0x10ef7ac10>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef7a940>,0.37912673056443025,1,0,0,0,0,0,0,12.0,8.0,2.0,0.0,0.0,1.0,0.0,9.0,216.26099999999997
1.14.20.7,C03912,1.0,6642,C1C[C@H](N=C1)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x10ef7acb0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef7a9e0>,0.3645490398448924,1,0,0,0,0,0,0,5.0,7.0,2.0,1.0,0.0,0.0,0.0,3.0,113.11599999999997
1.14.20.7,C20330,1.0,163312068,C(CC(N=C(N)N)O)[C@@H](C(=O)O)N,<rdkit.Chem.rdchem.Mol object at 0x10ef7ad50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef7aa80>,0.3645490398448924,1,0,0,0,0,0,0,6.0,14.0,3.0,4.0,0.0,0.0,0.0,2.0,190.203
1.14.20.7,C17349,1.0,135626098,C(=N)(N)N,<rdkit.Chem.rdchem.Mol object at 0x10ef7adf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef7ab20>,0.3645490398448924,1,0,0,0,0,0,0,1.0,5.0,0.0,3.0,0.0,0.0,0.0,1.0,59.071999999999996
2.7.4.14,C00705,1.0,3972,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(O)OP(=O)(O)O)O,<rdkit.Chem.rdchem.Mol object at 0x10ef7ae90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef7abc0>,0.7951808709135229,0,1,0,0,0,0,0,9.0,15.0,10.0,3.0,2.0,0.0,0.0,5.0,387.178
1.21.1.1,C01060,1.0,4299,C1=C(C=C(C(=C1I)O)I)C[C@@H](C(=O)O)N,<rdkit.Chem.rdchem.Mol object at 0x10ef7af30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef7ac60>,0.4009424209830908,1,0,0,0,0,0,0,9.0,9.0,3.0,1.0,0.0,0.0,2.0,5.0,432.9830000000001
1.21.1.1,C02515,1.0,5525,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)I)O,<rdkit.Chem.rdchem.Mol object at 0x10ef7ae40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef7af80>,0.4009424209830908,1,0,0,0,0,0,0,9.0,10.0,3.0,1.0,0.0,0.0,1.0,5.0,307.087
4.4.1.37,C21851,1.0,375580944,C1=C(C=[N+](C=C1C(=O)O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x10ef7aee0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef790d0>,0.840080971659919,0,0,0,1,0,0,0,12.0,15.0,11.0,1.0,1.0,0.0,0.0,6.5,380.22200000000004
4.4.1.37,C21767,1.0,354264358,C1=C(C=[N+](C=C1C(=O)S)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)C(=O)S,<rdkit.Chem.rdchem.Mol object at 0x10ef7ad00>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef79030>,0.840080971659919,0,0,0,1,0,0,0,12.0,15.0,9.0,1.0,1.0,2.0,0.0,6.5,412.35800000000006
1.13.11.18,C17267,1.0,96023674,C(CC(=O)N[C@@H](CSS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,<rdkit.Chem.rdchem.Mol object at 0x10ef7ada0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef79080>,0.511007185391218,1,0,0,0,0,0,0,10.0,17.0,6.0,3.0,0.0,2.0,0.0,4.0,339.39500000000004
1.13.11.18,C21787,1.0,354339130,C(CC(=O)N[C@@H](CSS(=O)O)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,<rdkit.Chem.rdchem.Mol object at 0x10ef792b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef79170>,0.511007185391218,1,0,0,0,0,0,0,10.0,17.0,8.0,3.0,0.0,2.0,0.0,4.0,371.3930000000001
1.1.1.287,C01904,1.0,5013,C([C@H](C([C@@H](CO)O)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x10ef79350>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef79210>,0.6363636363636364,1,0,0,0,0,0,0,5.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,152.146
1.1.1.287,C00309,1.0,3603,C1[C@H]([C@H](C(O1)(CO)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x10ef793f0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef79120>,0.6363636363636364,1,0,0,0,0,0,0,5.0,10.0,5.0,0.0,0.0,0.0,0.0,1.0,150.13
1.1.1.287,C00310,1.0,3604,C1[C@H]([C@@H](C(O1)(CO)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x10ef79490>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef791c0>,0.6363636363636364,1,0,0,0,0,0,0,5.0,10.0,5.0,0.0,0.0,0.0,0.0,1.0,150.13
2.3.1.262,C02247,1.0,5310,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)C4=CC=CC=C4N)O,<rdkit.Chem.rdchem.Mol object at 0x10ef79530>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef79260>,0.9229441509066723,0,1,0,0,0,0,0,28.0,41.0,17.0,8.0,3.0,1.0,0.0,14.0,886.664
2.3.1.262,C21452,1.0,329728075,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CC(=O)C4=CC=CC=C4N)O,<rdkit.Chem.rdchem.Mol object at 0x10ef795d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef79300>,0.9229441509066723,0,1,0,0,0,0,0,30.0,43.0,18.0,8.0,3.0,1.0,0.0,15.0,928.7009999999999
2.5.1.21,C00751,1.0,4013,CC(=CCC/C(=C/CC/C(=C/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)/C)C,<rdkit.Chem.rdchem.Mol object at 0x10ef79670>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef793a0>,0.4985472739820566,0,1,0,0,0,0,0,30.0,50.0,0.0,0.0,0.0,0.0,0.0,6.0,410.73000000000025
2.1.1.262,C00751,1.0,4013,CC(=CCC/C(=C/CC/C(=C/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)/C)C,<rdkit.Chem.rdchem.Mol object at 0x10ef79710>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef79440>,0.7860082304526749,0,1,0,0,0,0,0,30.0,50.0,0.0,0.0,0.0,0.0,0.0,6.0,410.73000000000025
1.1.1.372,C00116,1.0,3416,C(C(CO)O)O,<rdkit.Chem.rdchem.Mol object at 0x10ef797b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef794e0>,0.7222222222222223,1,0,0,0,0,0,0,3.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,92.09399999999998
1.1.1.372,C00577,1.0,3856,C([C@H](C=O)O)O,<rdkit.Chem.rdchem.Mol object at 0x10ef79850>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef79580>,0.7222222222222223,1,0,0,0,0,0,0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,90.07799999999999
2.2.1.11,C00577,1.0,3856,C([C@H](C=O)O)O,<rdkit.Chem.rdchem.Mol object at 0x10ef798f0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef79620>,0.39317998905891177,0,1,0,0,0,0,0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,90.07799999999999
1.1.1.372,C02426,1.0,5454,C([C@@H](C=O)O)O,<rdkit.Chem.rdchem.Mol object at 0x10ef79990>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef796c0>,0.7222222222222223,1,0,0,0,0,0,0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,90.07799999999999
1.1.99.41,C21682,1.0,350078259,CC[C@]12C[C@@](C3[C@@]4([C@H]1N(CC4)CC=C2)C5=CC=CC=C5N3)(C(=O)OC)O,<rdkit.Chem.rdchem.Mol object at 0x10ef79a30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef79760>,0.8337252578069322,1,0,0,0,0,0,0,21.0,26.0,3.0,2.0,0.0,0.0,0.0,10.0,354.45000000000005
1.1.99.41,C04578,1.0,7179,CC[C@]12C[C@@](C3[C@@]4([C@H]1N(CC4)CC=C2)C5=C(N3)C=C(C=C5)OC)(C(=O)OC)O,<rdkit.Chem.rdchem.Mol object at 0x10ef79ad0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef79800>,0.8337252578069322,1,0,0,0,0,0,0,22.0,28.0,4.0,2.0,0.0,0.0,0.0,10.0,384.4760000000001
1.1.99.41,C21678,1.0,350078255,CC[C@]12C[C@@](C3=NC4=C([C@]35[C@H]1N(CC5)CC=C2)C=CC(=C4)OC)(C(=O)OC)O,<rdkit.Chem.rdchem.Mol object at 0x10ef79b70>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef798a0>,0.8337252578069322,1,0,0,0,0,0,0,22.0,26.0,4.0,2.0,0.0,0.0,0.0,11.0,382.46000000000015
1.14.14.50,C21678,1.0,350078255,CC[C@]12C[C@@](C3=NC4=C([C@]35[C@H]1N(CC5)CC=C2)C=CC(=C4)OC)(C(=O)OC)O,<rdkit.Chem.rdchem.Mol object at 0x10ef79c10>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef79940>,0.7966774758113785,1,0,0,0,0,0,0,22.0,26.0,4.0,2.0,0.0,0.0,0.0,11.0,382.46000000000015
1.1.99.41,C21683,1.0,350078260,CC[C@]12C[C@@](C3=NC4=CC=CC=C4[C@]35[C@H]1N(CC5)CC=C2)(C(=O)OC)O,<rdkit.Chem.rdchem.Mol object at 0x10ef79cb0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef799e0>,0.8337252578069322,1,0,0,0,0,0,0,21.0,24.0,3.0,2.0,0.0,0.0,0.0,11.0,352.4340000000001
1.14.14.50,C21683,1.0,350078260,CC[C@]12C[C@@](C3=NC4=CC=CC=C4[C@]35[C@H]1N(CC5)CC=C2)(C(=O)OC)O,<rdkit.Chem.rdchem.Mol object at 0x10ef79d50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef79a80>,0.7966774758113785,1,0,0,0,0,0,0,21.0,24.0,3.0,2.0,0.0,0.0,0.0,11.0,352.4340000000001
5.5.1.24,C14151,1.0,7846963,CC1=C2C(=CC(=C1)O)CC[C@@](O2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C,<rdkit.Chem.rdchem.Mol object at 0x10ef79df0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef79b20>,0.6487119821890919,0,0,0,0,1,0,0,27.0,46.0,2.0,0.0,0.0,0.0,0.0,5.0,402.66300000000024
2.1.1.95,C14151,1.0,7846963,CC1=C2C(=CC(=C1)O)CC[C@@](O2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C,<rdkit.Chem.rdchem.Mol object at 0x10ef79e90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef79bc0>,0.8856200057743067,0,1,0,0,0,0,0,27.0,46.0,2.0,0.0,0.0,0.0,0.0,5.0,402.66300000000024
5.5.1.24,C15883,1.0,47205203,CC1=C(C=C(C(=C1C)O)C/C=C(\C)/CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O,<rdkit.Chem.rdchem.Mol object at 0x10ef79f30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef79c60>,0.6487119821890919,0,0,0,0,1,0,0,28.0,48.0,2.0,0.0,0.0,0.0,0.0,5.0,416.6900000000003
5.5.1.24,C20738,1.0,254741206,CC1=C(C=C(C(=C1C)O)C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)O,<rdkit.Chem.rdchem.Mol object at 0x10ef79e40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef79f80>,0.6487119821890919,0,0,0,0,1,0,0,28.0,42.0,2.0,0.0,0.0,0.0,0.0,8.0,410.6420000000002
5.5.1.24,C14156,1.0,7846968,CC1=C2C(=CC(=C1)O)CC[C@@](O2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C,<rdkit.Chem.rdchem.Mol object at 0x10ef79ee0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef780d0>,0.6487119821890919,0,0,0,0,1,0,0,27.0,40.0,2.0,0.0,0.0,0.0,0.0,8.0,396.61500000000024
2.1.1.95,C14156,1.0,7846968,CC1=C2C(=CC(=C1)O)CC[C@@](O2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C,<rdkit.Chem.rdchem.Mol object at 0x10ef79d00>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef78030>,0.8856200057743067,0,1,0,0,0,0,0,27.0,40.0,2.0,0.0,0.0,0.0,0.0,8.0,396.61500000000024
5.5.1.24,C02483,1.0,5496,CC1=C(C=C2CC[C@@](OC2=C1C)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O,<rdkit.Chem.rdchem.Mol object at 0x10ef79da0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef78080>,0.6487119821890919,0,0,0,0,1,0,0,28.0,48.0,2.0,0.0,0.0,0.0,0.0,5.0,416.6900000000003
2.1.1.95,C02483,1.0,5496,CC1=C(C=C2CC[C@@](OC2=C1C)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O,<rdkit.Chem.rdchem.Mol object at 0x10ef782b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef78170>,0.8856200057743067,0,1,0,0,0,0,0,28.0,48.0,2.0,0.0,0.0,0.0,0.0,5.0,416.6900000000003
5.5.1.24,C14155,1.0,7846967,CC1=C(C=C2CC[C@@](OC2=C1C)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)O,<rdkit.Chem.rdchem.Mol object at 0x10ef78350>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef78210>,0.6487119821890919,0,0,0,0,1,0,0,28.0,42.0,2.0,0.0,0.0,0.0,0.0,8.0,410.6420000000002
2.1.1.95,C14155,1.0,7846967,CC1=C(C=C2CC[C@@](OC2=C1C)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)O,<rdkit.Chem.rdchem.Mol object at 0x10ef783f0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef78120>,0.8856200057743067,0,1,0,0,0,0,0,28.0,42.0,2.0,0.0,0.0,0.0,0.0,8.0,410.6420000000002
2.7.1.217,C03064,1.0,5964,C(C(=O)[C@H](C(=O)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x10ef78490>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef781c0>,0.7435897435897436,0,1,0,0,0,0,0,4.0,6.0,5.0,0.0,0.0,0.0,0.0,2.0,134.087
5.3.1.35,C03064,1.0,5964,C(C(=O)[C@H](C(=O)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x10ef78530>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef78260>,0.8035714285714285,0,0,0,0,1,0,0,4.0,6.0,5.0,0.0,0.0,0.0,0.0,2.0,134.087
2.7.1.217,C21612,1.0,340125670,C(C(=O)[C@@H](C(=O)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x10ef785d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef78300>,0.7435897435897436,0,1,0,0,0,0,0,4.0,6.0,5.0,0.0,0.0,0.0,0.0,2.0,134.087
2.7.1.217,C21611,1.0,340125669,C(C(=O)[C@@H](C(=O)O)O)OP(=O)(O)O,<rdkit.Chem.rdchem.Mol object at 0x10ef78670>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x10ef783a0>,0.7435897435897436,0,1,0,0,0,0,0,4.0,7.0,8.0,0.0,1.0,0.0,0.0,2.0,214.06599999999997
